:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
매수인이 주식을 매수하기로 한다.,매도인이 주식을 매도하기로 한다.,이후,"['subsequent to', 'later than', 'following', 'after']",[],0,Relation
계약 당사자들이 계약서에 서명한다.,주식의 소유권이 이전된다.,이후,"['subsequent to', 'later than', 'following', 'after']",[],1,Relation
매수인이 대금을 지급한다.,매도인이 주식을 이전한다.,결과로,"['lead to', 'give rise to', 'bring about', 'cause', 'result in', 'produce']",[],2,Relation
계약 조건이 모두 충족된다.,주식 거래가 완료된다.,때문에,"['cause', 'as a consequence of', 'reason for', 'due to', 'result from']",[],3,Relation
주식 거래가 완료된다.,계약이 종료된다.,이후,"['subsequent to', 'later than', 'following', 'after']",[],4,Relation
주식매매계약서가 작성된다.,주식매매계약서,is participated by,"['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']",[],5,Relation
주식회사 에타캐피탈,주식회사 쎄타파트너스,계약 체결,"['establish deal', 'make contract', 'agreement', 'sign document', 'form partnership']",[],6,Relation
주식회사 에타캐피탈,주식회사 아이오타솔루션,매도인,"['vendor', 'seller', 'transferor', 'provider', 'disposer']",[],7,Relation
주식회사 쎄타파트너스,주식회사 아이오타솔루션,매수인,"['acquiring party', 'customer', 'purchaser', 'buyer', 'recipient']",[],8,Relation
계약일자,2025년 1월 1일,설정,"['define', 'arrange', 'set up', 'organize', 'establish', 'configure']",[],9,Relation
2025년 1월 1일에 계약이 체결된다.,계약 당사자가 확정된다.,이후,"['subsequent to', 'later than', 'following', 'after']",[],10,Relation
주식회사 에타캐피탈이 매도인으로 지정된다.,주식회사 쎄타파트너스가 매수인으로 지정된다.,동시에,"['concurrently', 'at the same time', 'in parallel', 'simultaneously']",[],11,Relation
계약 당사자가 확정된다.,대상회사가 주식회사 아이오타솔루션으로 지정된다.,동시에,"['concurrently', 'at the same time', 'in parallel', 'simultaneously']",[],12,Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,주식회사 에타캐피탈,is participated by,"['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']",[],13,Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,주식회사 쎄타파트너스,is participated by,"['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']",[],14,Relation
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 주식을 매도한다.,주식회사 에타캐피탈,is participated by,"['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']",[],15,Relation
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 주식을 매도한다.,주식회사 아이오타솔루션,is participated by,"['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']",[],16,Relation
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 주식을 매수한다.,주식회사 쎄타파트너스,is participated by,"['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']",[],17,Relation
