name:ID,type,concepts,synsets,:LABEL
매수인이 주식을 매수하기로 한다.,event,[],[],Node
매도인이 주식을 매도하기로 한다.,event,[],[],Node
계약 당사자들이 계약서에 서명한다.,event,[],[],Node
주식의 소유권이 이전된다.,event,[],[],Node
매수인이 대금을 지급한다.,event,[],[],Node
매도인이 주식을 이전한다.,event,[],[],Node
계약 조건이 모두 충족된다.,event,[],[],Node
주식 거래가 완료된다.,event,[],[],Node
계약이 종료된다.,event,[],[],Node
주식매매계약서가 작성된다.,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 에타캐피탈,entity,[],[],Node
주식회사 쎄타파트너스,entity,[],[],Node
주식회사 아이오타솔루션,entity,[],[],Node
계약일자,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
2025년 1월 1일에 계약이 체결된다.,event,[],[],Node
계약 당사자가 확정된다.,event,[],[],Node
주식회사 에타캐피탈이 매도인으로 지정된다.,event,[],[],Node
주식회사 쎄타파트너스가 매수인으로 지정된다.,event,[],[],Node
대상회사가 주식회사 아이오타솔루션으로 지정된다.,event,[],[],Node
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 주식을 매도한다.,event,[],[],Node
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 주식을 매수한다.,event,[],[],Node
제1장 총칙이 문서의 시작 부분에 제시된다.,event,[],[],Node
제1장 총칙,entity,[],[],Node
문서,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 20,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
"매수, 매도에 필요한 제반 사항",entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",event,[],[],Node
매수인이 이를 매수한다,event,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고 매수인이 이를 매수한다",event,[],[],Node
본 계약이 필요한 제반 사항을 규정한다,event,[],[],Node
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 20,000,000주",entity,[],[],Node
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",event,[],[],Node
본 계약은 매도인이 매도하고 매수인이 매수하는 데 필요한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
1차 대금 지급과 주식 양도가 이루어지는 날,entity,[],[],Node
1차 대금 지급과 주식 양도,entity,[],[],Node
제51조에 따라,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
영업실적,entity,[],[],Node
"매출액, 영업이익, EBITDA 등 재무성과",entity,[],[],Node
1차 대금 지급이 이루어진다.,event,[],[],Node
주식 양도가 이루어진다.,event,[],[],Node
1차 대금 지급과 주식 양도가 이루어진다.,event,[],[],Node
"""거래종결일""이 된다.",event,[],[],Node
대한민국의 은행이 정상 영업한다.,event,[],[],Node
"""영업일""이 된다.",event,[],[],Node
1차 대금,entity,[],[],Node
주식,entity,[],[],Node
대한민국의 은행이 정상적으로 영업한다.,event,[],[],Node
대한민국의 은행,entity,[],[],Node
"매출액, 영업이익, EBITDA 등 재무성과가 발생한다.",event,[],[],Node
매출액,entity,[],[],Node
영업이익,entity,[],[],Node
EBITDA,entity,[],[],Node
재무성과,entity,[],[],Node
양 당사자,entity,[],[],Node
양 당사자는 본 계약을 체결한다.,event,[],[],Node
양 당사자는 본 계약의 이행에 있어 협력한다.,event,[],[],Node
양 당사자는 선의와 신뢰를 바탕으로 한다.,event,[],[],Node
양 당사자는 성실히 협력한다.,event,[],[],Node
계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
이전의 모든 구두 또는 서면 합의,entity,[],[],Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],Node
이전의 모든 구두 또는 서면 합의가 존재했다.,event,[],[],Node
본 계약이 체결된다.,event,[],[],Node
이전의 모든 구두 또는 서면 합의가 대체된다.,event,[],[],Node
당사자,entity,[],[],Node
이전의 구두 합의,entity,[],[],Node
이전의 서면 합의,entity,[],[],Node
"일천억원(₩100,000,000,000)",entity,[],[],Node
주당,entity,[],[],Node
"오천원(₩5,000)",entity,[],[],Node
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.",event,[],[],Node
"주당 매매가격은 금 오천원(₩5,000)으로 한다.",event,[],[],Node
"매매주식의 총 매매가격을 금 일천억원(₩100,000,000,000)으로 정한다.",event,[],[],Node
"주당 매매가격을 금 오천원(₩5,000)으로 정한다.",event,[],[],Node
진술,entity,[],[],Node
본 계약 체결일,entity,[],[],Node
각 대금 지급일,entity,[],[],Node
보증,entity,[],[],Node
진술과 보증의 기준일이 된다.,event,[],[],Node
각 대금이 지급된다.,event,[],[],Node
진술과 보증의 기준일이 정해진다.,event,[],[],Node
달리 명시되지 않은 경우 본 계약 체결일과 각 대금 지급일이 기준일로 적용된다.,event,[],[],Node
모든 진술과 보증은 본 계약 체결일과 각 대금 지급일을 기준으로 한다.,event,[],[],Node
거래 완료,entity,[],[],Node
양 당사자는 거래 완료를 위해 협력한다.,event,[],[],Node
거래가 완료된다.,event,[],[],Node
양 당사자가 거래 완료를 위해 최선을 다해 협력한다.,event,[],[],Node
