name:ID,type,concepts,synsets,numeric_id,:LABEL
매수인이 주식을 매수하기로 한다.,event,[],[],0,Node
매도인이 주식을 매도하기로 한다.,event,[],[],1,Node
계약 당사자들이 계약서에 서명한다.,event,[],[],2,Node
주식의 소유권이 이전된다.,event,[],[],3,Node
매수인이 대금을 지급한다.,event,[],[],4,Node
매도인이 주식을 이전한다.,event,[],[],5,Node
계약 조건이 모두 충족된다.,event,[],[],6,Node
주식 거래가 완료된다.,event,[],[],7,Node
계약이 종료된다.,event,[],[],8,Node
주식매매계약서가 작성된다.,event,[],[],9,Node
주식매매계약서,entity,[],[],10,Node
주식회사 에타캐피탈,entity,[],[],11,Node
주식회사 쎄타파트너스,entity,[],[],12,Node
주식회사 아이오타솔루션,entity,[],[],13,Node
계약일자,entity,[],[],14,Node
2025년 1월 1일,entity,[],[],15,Node
2025년 1월 1일에 계약이 체결된다.,event,[],[],16,Node
계약 당사자가 확정된다.,event,[],[],17,Node
주식회사 에타캐피탈이 매도인으로 지정된다.,event,[],[],18,Node
주식회사 쎄타파트너스가 매수인으로 지정된다.,event,[],[],19,Node
대상회사가 주식회사 아이오타솔루션으로 지정된다.,event,[],[],20,Node
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],21,Node
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 주식을 매도한다.,event,[],[],22,Node
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 주식을 매수한다.,event,[],[],23,Node
제1장 총칙이 문서의 시작 부분에 제시된다.,event,[],[],24,Node
제1장 총칙,entity,[],[],25,Node
문서,entity,[],[],26,Node
매도인,entity,[],[],27,Node
"대상회사 발행 보통주식 20,000,000주",entity,[],[],28,Node
매매주식,entity,[],[],29,Node
매수인,entity,[],[],30,Node
본 계약,entity,[],[],31,Node
"매수, 매도에 필요한 제반 사항",entity,[],[],32,Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",event,[],[],33,Node
매수인이 이를 매수한다,event,[],[],34,Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고 매수인이 이를 매수한다",event,[],[],35,Node
본 계약이 필요한 제반 사항을 규정한다,event,[],[],36,Node
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",event,[],[],37,Node
대상회사,entity,[],[],38,Node
"보통주식 20,000,000주",entity,[],[],39,Node
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",event,[],[],40,Node
본 계약은 매도인이 매도하고 매수인이 매수하는 데 필요한 제반 사항을 규정한다.,event,[],[],41,Node
거래종결일,entity,[],[],42,Node
1차 대금 지급과 주식 양도가 이루어지는 날,entity,[],[],43,Node
1차 대금 지급과 주식 양도,entity,[],[],44,Node
제51조에 따라,entity,[],[],45,Node
영업일,entity,[],[],46,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],47,Node
영업실적,entity,[],[],48,Node
"매출액, 영업이익, EBITDA 등 재무성과",entity,[],[],49,Node
1차 대금 지급이 이루어진다.,event,[],[],50,Node
주식 양도가 이루어진다.,event,[],[],51,Node
1차 대금 지급과 주식 양도가 이루어진다.,event,[],[],52,Node
"""거래종결일""이 된다.",event,[],[],53,Node
대한민국의 은행이 정상 영업한다.,event,[],[],54,Node
"""영업일""이 된다.",event,[],[],55,Node
1차 대금,entity,[],[],56,Node
주식,entity,[],[],57,Node
대한민국의 은행이 정상적으로 영업한다.,event,[],[],58,Node
대한민국의 은행,entity,[],[],59,Node
"매출액, 영업이익, EBITDA 등 재무성과가 발생한다.",event,[],[],60,Node
매출액,entity,[],[],61,Node
영업이익,entity,[],[],62,Node
EBITDA,entity,[],[],63,Node
재무성과,entity,[],[],64,Node
양 당사자,entity,[],[],65,Node
양 당사자는 본 계약을 체결한다.,event,[],[],66,Node
양 당사자는 본 계약의 이행에 있어 협력한다.,event,[],[],67,Node
양 당사자는 선의와 신뢰를 바탕으로 한다.,event,[],[],68,Node
양 당사자는 성실히 협력한다.,event,[],[],69,Node
계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],70,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],71,Node
이전의 모든 구두 또는 서면 합의,entity,[],[],72,Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],73,Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],74,Node
이전의 모든 구두 또는 서면 합의가 존재했다.,event,[],[],75,Node
본 계약이 체결된다.,event,[],[],76,Node
이전의 모든 구두 또는 서면 합의가 대체된다.,event,[],[],77,Node
당사자,entity,[],[],78,Node
이전의 구두 합의,entity,[],[],79,Node
이전의 서면 합의,entity,[],[],80,Node
"일천억원(₩100,000,000,000)",entity,[],[],81,Node
주당,entity,[],[],82,Node
"오천원(₩5,000)",entity,[],[],83,Node
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.",event,[],[],84,Node
"주당 매매가격은 금 오천원(₩5,000)으로 한다.",event,[],[],85,Node
