node,conceptualized_node,node_type
제공된 사업계획 및 예측은 합리적인 가정에 기초하여 성실하게 작성되었다,"business planning, forecasting, assumptions, diligence, preparation",event
대상회사는 재무제표에 기재된 것 외에 중요한 부채나 우발채무가 없다,"financial disclosure, liability, accounting, debt, transparency",event
대상회사는 환경 관련 소송이나 분쟁이 없다,"legal compliance, environmental law, dispute absence, litigation-free, regulatory adherence",event
매도인은 거래종결일까지 대상회사를 통상의 영업과정에 따라 운영한다,"business operation, company management, transaction process, commercial activity, operational continuity",event
본 계약은 한국어로 작성되었다,"contract, agreement, documentation, language, legal",event
제15조의 확인실사에서 하자가 발견되었다,"inspection, defect, verification, issue, compliance",event
양 당사자가 합의하여 검증 기관을 선정한다,"agreement, selection, verification, negotiation, decision-making",event
대상회사는 진행 중인 세무조사나 분쟁이 없다,"tax investigation, dispute, legal status, compliance, audit status",event
본 계약과 관련된 분쟁은 서울중앙지방법원을 제1심 관할법원으로 한다,"legal dispute, jurisdiction, contract, litigation, court case",event
하자담보책임의 청구가 적법하게 처리된다,"legal claim, liability, warranty, dispute resolution, contract law",event
거래종결 후 발견된 자산은 매수인에게 귀속된다,"ownership, transaction, asset transfer, legal agreement, property rights",event
데이터룸을 통해 공개된 모든 정보는 중요한 측면에서 정확하고 완전하다,"disclosure, accuracy, completeness, data integrity, information security",event
검증 절차가 복잡한 사안인 경우,"verification, complexity, procedure, scrutiny, evaluation",event
매도인은 거래종결 후 3개월간 원활한 경영권 이전을 위해 지원한다,"support, transition, cooperation, business, management",event
매도인은 매매주식의 적법하고 완전한 소유자이다,"ownership, legality, property, transaction, rights",event
양도소득세는 거래와 관련하여 매도인이 부담한다,"taxation, transaction, liability, seller, finance",event
본 계약의 일부 조항이 무효인 경우,"contract, legality, invalidity, clause, agreement",event
진행 중인 세무조사나 분쟁이 없다,"compliance, investigation, legal status, dispute-free, audit clearance",event
상대방이 손해배상을 청구한다,"compensation, claim, legal action, dispute, liability",event
매도인의 손해배상 책임이 제한된다,"liability, limitation, compensation, legal responsibility, damage control",event
대상회사에 대한 경영권과 통제권이 매수인에게 이전된다,"acquisition, transfer, control, management, ownership",event
매수인의 진술보증이 정확하다,"accuracy, assurance, testimony, verification, reliability",event
매수인이 추가 실사를 요청한다,"due diligence, investigation, request, verification, assessment",event
모든 진술과 보증은 본 계약 체결일과 거래종결일을 기준으로 한다,"agreement, warranty, contract, transaction, legal terms",event
"중대한 악영향을 미치는 사건이 대상회사의 재무상태, 영업, 자산에 발생한다","financial impact, operational disruption, asset impairment, corporate crisis, business challenge",event
매도인은 증빙이 불충분한 경우 추가 자료를 요구할 수 있다,"request, verification, evidence, documentation, inquiry",event
