:START_ID,:END_ID,relation,concepts,synsets,:TYPE
계약,2025년 1월 1일,체결일자,[],[],Relation
계약,주식회사 알파벤처스,매도인,[],[],Relation
주식회사 알파벤처스,000-00-00000,사업자등록번호,[],[],Relation
계약,주식회사 베타홀딩스,매수인,[],[],Relation
주식회사 베타홀딩스,111-11-11111,사업자등록번호,[],[],Relation
계약,주식회사 감마테크,대상회사,[],[],Relation
주식회사 감마테크,222-22-22222,사업자등록번호,[],[],Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 2025년 1월 1일에 계약을 체결했다,주식회사 알파벤처스,is participated by,[],[],Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 2025년 1월 1일에 계약을 체결했다,주식회사 베타홀딩스,is participated by,[],[],Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 2025년 1월 1일에 계약을 체결했다,2025년 1월 1일,is participated by,[],[],Relation
계약에 주식회사 감마테크가 대상회사로 포함되었다,주식회사 감마테크,is participated by,[],[],Relation
계약에 주식회사 감마테크가 대상회사로 포함되었다,계약,is participated by,[],[],Relation
본 계약,"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도",목적,[],[],Relation
매수인,본 계약,매수함에 있어 필요한 제반 사항을 규정,[],[],Relation
"본 계약은 매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매도하는 것",매수인이 이를 매수함에 필요한 제반 사항을 규정한다,때문에,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.","보통주식 10,000,000주",is participated by,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",대상회사,is participated by,[],[],Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.","보통주식 10,000,000주",is participated by,[],[],Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미,[],[],Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미,[],[],Relation
중요한 부정적 변동,"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",의미,[],[],Relation
주식 양도가 제51조에 따라 완료된다,주식,is participated by,[],[],Relation
주식 양도가 제51조에 따라 완료된다,제51조,is participated by,[],[],Relation
대한민국의 은행이 정상 영업한다,대한민국의 은행,is participated by,[],[],Relation
"중대한 악영향을 미치는 사건이 대상회사의 재무상태, 영업, 자산에 발생한다",중대한 악영향을 미치는 사건,is participated by,[],[],Relation
"중대한 악영향을 미치는 사건이 대상회사의 재무상태, 영업, 자산에 발생한다",대상회사,is participated by,[],[],Relation
"중대한 악영향을 미치는 사건이 대상회사의 재무상태, 영업, 자산에 발생한다",재무상태,is participated by,[],[],Relation
"중대한 악영향을 미치는 사건이 대상회사의 재무상태, 영업, 자산에 발생한다",영업,is participated by,[],[],Relation
"중대한 악영향을 미치는 사건이 대상회사의 재무상태, 영업, 자산에 발생한다",자산,is participated by,[],[],Relation
양 당사자,상호 선의와 신뢰,체결 및 이행에 있어 바탕으로 삼음,[],[],Relation
양 당사자,성실히,협력함,[],[],Relation
양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다,양 당사자,is participated by,[],[],Relation
양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다,본 계약,is participated by,[],[],Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함하다,[],[],Relation
본 계약,이전의 모든 구두 또는 서면 합의,대체하다,[],[],Relation
