name:ID,type,concepts,synsets,:LABEL
계약,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
주식회사 알파벤처스,entity,[],[],Node
000-00-00000,entity,[],[],Node
주식회사 베타홀딩스,entity,[],[],Node
111-11-11111,entity,[],[],Node
주식회사 감마테크,entity,[],[],Node
222-22-22222,entity,[],[],Node
주식회사 알파벤처스가 주식회사 베타홀딩스와 2025년 1월 1일에 계약을 체결했다,event,[],[],Node
계약에 주식회사 감마테크가 대상회사로 포함되었다,event,[],[],Node
본 계약,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도",entity,[],[],Node
매수인,entity,[],[],Node
"본 계약은 매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매도하는 것",event,[],[],Node
매수인이 이를 매수함에 필요한 제반 사항을 규정한다,event,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
매도인,entity,[],[],Node
대상회사,entity,[],[],Node
"보통주식 10,000,000주",entity,[],[],Node
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",event,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
중요한 부정적 변동,entity,[],[],Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",entity,[],[],Node
주식 양도가 제51조에 따라 완료된다,event,[],[],Node
주식,entity,[],[],Node
제51조,entity,[],[],Node
대한민국의 은행이 정상 영업한다,event,[],[],Node
대한민국의 은행,entity,[],[],Node
"중대한 악영향을 미치는 사건이 대상회사의 재무상태, 영업, 자산에 발생한다",event,[],[],Node
중대한 악영향을 미치는 사건,entity,[],[],Node
재무상태,entity,[],[],Node
영업,entity,[],[],Node
자산,entity,[],[],Node
양 당사자,entity,[],[],Node
상호 선의와 신뢰,entity,[],[],Node
성실히,entity,[],[],Node
양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다,event,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
이전의 모든 구두 또는 서면 합의,entity,[],[],Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다,event,[],[],Node
이전의 모든 구두 또는 서면 합의를 대체한다,event,[],[],Node
매매주식,entity,[],[],Node
매매,entity,[],[],Node
당사자,entity,[],[],Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다,event,[],[],Node
이전의 모든 구두 합의,entity,[],[],Node
이전의 모든 서면 합의,entity,[],[],Node
매매주식의 총 매매가격,entity,[],[],Node
"금 일천억원(₩100,000,000,000)",entity,[],[],Node
주당 매매가격,entity,[],[],Node
"금 일만원(₩10,000)",entity,[],[],Node
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다",event,[],[],Node
"주당 매매가격은 금 일만원(₩10,000)으로 한다",event,[],[],Node
매매주식의 총 매매가격은 금 일천억원으로 정해졌다,event,[],[],Node
총 매매가격,entity,[],[],Node
금 일천억원,entity,[],[],Node
"₩100,000,000,000",entity,[],[],Node
주당 매매가격은 금 일만원으로 정해졌다,event,[],[],Node
금 일만원,entity,[],[],Node
"₩10,000",entity,[],[],Node
진술과 보증,entity,[],[],Node
본 계약 체결일,entity,[],[],Node
모든 진술과 보증은 본 계약 체결일을 기준으로 한다,event,[],[],Node
모든 진술과 보증은 거래종결일을 기준으로 한다,event,[],[],Node
모든 진술과 보증은 본 계약 체결일과 거래종결일을 기준으로 한다,event,[],[],Node
진술,entity,[],[],Node
보증,entity,[],[],Node
각 당사자,entity,[],[],Node
제3자,entity,[],[],Node
법령상 요구,entity,[],[],Node
비밀정보 공개 금지,entity,[],[],Node
상대방의 서면 동의,entity,[],[],Node
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다,event,[],[],Node
법령상 요구되거나 상대방의 서면 동의가 있는 경우,event,[],[],Node
상대방의 비밀정보,entity,[],[],Node
법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다,event,[],[],Node
법령,entity,[],[],Node
상대방,entity,[],[],Node
서면 동의,entity,[],[],Node
추가 실사,entity,[],[],Node
매수인은 거래종결 전 언제든지 추가 실사를 요청할 수 있다,event,[],[],Node
매도인은 이에 성실히 협조해야 한다,event,[],[],Node
매수인이 추가 실사를 요청한다,event,[],[],Node
거래종결,entity,[],[],Node
매도인은 매수인의 추가 실사 요청에 성실히 협조해야 한다,event,[],[],Node
추가 실사 요청,entity,[],[],Node
매매대금,entity,[],[],Node
전액 현금,entity,[],[],Node
지급,entity,[],[],Node
매도인이 지정한 계좌로 송금,entity,[],[],Node
매매대금은 거래종결일에 전액 현금으로 지급한다,event,[],[],Node
지급은 매도인이 지정한 계좌로 송금하는 방식으로 한다,event,[],[],Node
매매대금은 거래종결일에 전액 현금으로 지급된다,event,[],[],Node
지급은 매도인이 지정한 계좌로 송금하는 방식으로 이루어진다,event,[],[],Node
지정한 계좌,entity,[],[],Node
계약의 해석에 대한 분쟁,entity,[],[],Node
대한민국 법률,entity,[],[],Node
계약의 해석에 대한 분쟁이 발생한다,event,[],[],Node
분쟁,entity,[],[],Node
분쟁을 대한민국 법률에 따라 해석한다,event,[],[],Node
매매주식에 대한 완전한 소유권,entity,[],[],Node
소유권 이전,entity,[],[],Node
매도인은 거래종결일에 매매주식에 대한 완전한 소유권을 매수인에게 이전한다,event,[],[],Node
매수인은 거래종결일에 매매주식에 대한 완전한 소유권을 가진다,event,[],[],Node
매도인에게 경영 자문,entity,[],[],Node
요청,entity,[],[],Node
거래종결 후 6개월 내,entity,[],[],Node
거래종결 후 6개월 내에 매수인은 매도인에게 경영 자문을 요청할 수 있다,event,[],[],Node
매수인이 거래종결 후 6개월 내에 매도인에게 경영 자문을 요청할 수 있다,event,[],[],Node
6개월,entity,[],[],Node
경영 자문,entity,[],[],Node
대금조정,entity,[],[],Node
제92조,entity,[],[],Node
운전자본,entity,[],[],Node
순부채,entity,[],[],Node
매매대금 조정,entity,[],[],Node
"운전자본, 순부채 등의 변동에 따른 매매대금 조정은 제92조에 정한 바에 따른다",event,[],[],Node
제92조에 정한 바,event,[],[],Node
매매대금 조정은 운전자본과 순부채 등의 변동에 따라 이루어진다.,event,[],[],Node
매매대금 조정은 제92조에 정한 바에 따른다.,event,[],[],Node
"담보권, 제한, 부담이 없는 상태",entity,[],[],Node
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태로 양도되어야 한다",event,[],[],Node
"주식의 상태는 주식에 담보권, 제한, 부담이 없어야 한다",event,[],[],Node
"매매주식이 담보권, 제한, 부담이 없는 상태로 양도된다",event,[],[],Node
담보권,entity,[],[],Node
제한,entity,[],[],Node
부담,entity,[],[],Node
확인실사,entity,[],[],Node
회계,entity,[],[],Node
법무,entity,[],[],Node
세무,entity,[],[],Node
하자나 문제점,entity,[],[],Node
실사 과정,entity,[],[],Node
문서,entity,[],[],Node
매수인은 거래종결일로부터 30영업일 이내에 대상회사에 대한 확인실사를 수행할 수 있다,event,[],[],Node
"확인실사는 회계, 법무, 세무, 영업 전 분야를 포함한다",event,[],[],Node
실사 과정에서 발견된 하자나 문제점은 문서화되어야 한다,event,[],[],Node
매수인은 거래종결일로부터 30영업일 이내에 대상회사에 대한 확인실사를 수행한다,event,[],[],Node
실사 과정에서 발견된 하자나 문제점은 문서화된다,event,[],[],Node
하자,entity,[],[],Node
문제점,entity,[],[],Node
거래종결일로부터 3년간 대상회사와 경쟁하는 사업,entity,[],[],Node
매도인은 거래종결일로부터 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다,event,[],[],Node
