":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"주식매매계약서가 작성된다.","계약 당사자들이 주식의 양도 및 양수에 대한 조건을 확인한다.","이후","['following', 'after', 'later', 'subsequent', 'next']","[]","Relation"
"계약 당사자들이 주식의 양도 및 양수에 대한 조건을 확인한다.","실제 주식 매매 절차가 진행된다.","이후","['following', 'after', 'later', 'subsequent', 'next']","[]","Relation"
"실제 주식 매매 절차가 진행된다.","주식의 소유권이 이전된다.","결과로","['produce', 'lead to', 'give rise to', 'cause', 'result from']","[]","Relation"
"주식의 소유권이 이전된다.","계약이 완전히 이행된다.","이후","['following', 'after', 'later', 'subsequent', 'next']","[]","Relation"
"주식매매계약서가 작성된다.","주식매매계약서","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"주식회사 델타인베스트먼트","주식회사 제타시스템즈","매도한다","['transfer ownership', 'dispose', 'relinquish', 'sell']","[]","Relation"
"주식회사 엡실론그룹","주식회사 제타시스템즈","매수한다","['acquire', 'secure', 'purchase', 'obtain', 'buy']","[]","Relation"
"주식회사 델타인베스트먼트","주식회사 엡실론그룹","계약을 체결한다","['enter into accord', 'make contract', 'formalize deal', 'sign agreement', 'establish arrangement']","[]","Relation"
"2025년 1월 1일에 계약이 체결되었다.","계약 당사자들이 계약을 검토하였다.","이전에","['earlier', 'preceding', 'antecedent', 'before', 'prior']","[]","Relation"
"주식회사 델타인베스트먼트가 매도인으로 지정되었다.","주식회사 엡실론그룹이 매수인으로 지정되었다.","동시에","['synchronously', 'simultaneously', 'at the same time', 'concurrently']","[]","Relation"
"주식회사 제타시스템즈가 대상회사로 선정되었다.","해당 계약의 주요 거래 대상이 정해졌다.","결과로","['produce', 'lead to', 'give rise to', 'cause', 'result from']","[]","Relation"
"주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.","주식회사 델타인베스트먼트","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.","주식회사 엡실론그룹","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 매도인으로 계약에 참여한다.","주식회사 델타인베스트먼트","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 매도인으로 계약에 참여한다.","주식회사 제타시스템즈","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"주식회사 엡실론그룹이 주식회사 제타시스템즈의 매수인으로 계약에 참여한다.","주식회사 엡실론그룹","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"주식회사 엡실론그룹이 주식회사 제타시스템즈의 매수인으로 계약에 참여한다.","주식회사 제타시스템즈","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"제1장 총칙이 시작된다.","제1장 총칙","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매도인","대상회사 발행 보통주식 15,000,000주","보유하다","['possess', 'hold', 'retain', 'have', 'own']","[]","Relation"
"매도인","매매주식","매도하다","['sell', 'exchange', 'dispose of', 'transfer ownership', 'relinquish']","[]","Relation"
"매수인","매매주식","매수하다","['acquire', 'procure', 'purchase', 'obtain', 'buy']","[]","Relation"
"본 계약","매도 및 매수에 필요한 제반 사항","규정하다","['determine', 'define', 'stipulate', 'prescribe', 'establish']","[]","Relation"
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.","매수인이 이를 매수한다.","동시에","['synchronously', 'simultaneously', 'at the same time', 'concurrently']","[]","Relation"
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.","필요한 제반 사항을 규정한다.","결과로","['produce', 'lead to', 'give rise to', 'cause', 'result from']","[]","Relation"
"매수인이 이를 매수한다.","필요한 제반 사항을 규정한다.","결과로","['produce', 'lead to', 'give rise to', 'cause', 'result from']","[]","Relation"
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.","매도인","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.","대상회사","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.","보통주식 15,000,000주","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.","매수인","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.","매수인","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.","대상회사","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.","보통주식 15,000,000주","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.","매도인","is participated by","['attract participation', 'be attended by', 'receive involvement', 'be engaged by']","[]","Relation"
