node,conceptualized_node,node_type
정상영업 여부를 제11조의 정의에 따라 판단한다.,"evaluation, compliance, assessment, regulation, decision-making",event
각 당사자는 진술보증 사항에 중요한 변경이 발생할 경우 즉시 상대방에게 통지한다.,"notification, disclosure, communication, obligation, compliance",event
양 당사자는 선의와 신뢰를 바탕으로 성실히 협력한다.,"cooperation, trust, good faith, partnership, collaboration",event
대상회사의 CSR 활동이 시작된다.,"social responsibility, corporate giving, community engagement, ethical action, philanthropy",event
매수인이 매매대금 전액을 자기자본으로 조달했음을 확인한다.,"verification, confirmation, financing, investment, validation",event
합의한 날에 거래종결이 이루어진다.,"transaction, agreement, completion, settlement, contract",event
"대상회사가 사업과 관련된 모든 법령, 규정을 중요한 측면에서 준수하고 있다.","compliance, regulation, governance, legality, adherence",event
매수인이 책임을 진다.,"liability, responsibility, obligation, accountability, duty",event
제28조에 정한 기간 동안 유효하다.,"validity, duration, enforcement, regulation, limitation",event
대상회사의 중요한 부채나 우발채무가 존재하지 않는다.,"확인, 검증, 안정성, 신뢰, 안전",event
"매도인은 거래종결 시 주권, 주주명부, 이사회 결의서 등 필요 서류를 인도한다.","document delivery, legal process, transaction, compliance, closing, paperwork",event
대한민국의 은행이 정상 영업한다,"banking, finance, business, transaction, operation",event
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태로 양도되어야 한다.","transfer, ownership, transaction, freedom, clearance",event
양 당사자가 거래종결 시 종결 확인서를 작성한다.,"agreement, documentation, confirmation, completion, transaction",event
주식매매계약서가 작성된다.,"contracting, agreement, transaction, documentation, negotiation",event
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,"contract, agreement, replacement, finalization, supersession",event
손해배상 청구를 서면으로 한다.,"legal process, compensation, claim, documentation, formal request",event
기존 공급업체와의 관계가 동일 조건으로 유지된다,"agreement, continuity, business relationship, contract maintenance, partnership",event
매수인은 매도인이 지정한 계좌로 매매대금을 송금한다.,"transaction, payment, transfer, settlement, remittance",event
양 당사자는 본 계약의 체결에 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,"cooperation, trust, agreement, collaboration, negotiation, partnership",event
양 당사자는 시너지 창출을 위해 적극 협력한다.,"collaboration, partnership, cooperation, alliance, synergy",event
주식회사 제타시스템즈가 대상회사로 선정되었다.,"selection, recognition, achievement, competition, nomination",event
대상회사에 대한 경영권과 통제권이 매수인에게 이전된다.,"ownership transfer, acquisition, control shift, authority change, corporate restructuring",event
매도인이 지정한 자가 임시로 경영권을 행사한다.,"management, delegation, authority, representation, transition",event
거래종결과 동시에 대상회사에 대한 경영권과 통제권이 매수인에게 이전된다.,"ownership transfer, control shift, acquisition, authority change, transaction completion",event
양 당사자가 거래 시너지 실현을 위해 상호 협력한다.,"collaboration, partnership, cooperation, synergy, alliance, mutual benefit",event
브랜드 유지가 이루어진다.,"maintenance, continuity, preservation, management, branding",event
진행 중인 연구개발 프로젝트가 있다.,"development, progress, innovation, research, creation",event
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,"agreement, partnership, business deal, collaboration, contract signing",event
거래가 종결된다.,"completion, settlement, closure, agreement, resolution",event
해당 업무에 필요한 전문성과 경험을 보유한다.,"qualification, expertise, competence, professionalism, skill",event
해당 계약의 주요 거래 대상이 정해졌다.,"contracting, negotiation, agreement, selection, decision-making",event
매도인은 거래종결일까지 대상회사를 통상의 영업과정에 따라 운영한다.,"management, operation, business, maintenance, continuity",event
주식회사 델타인베스트먼트가 매도인으로 지정되었다.,"designation, assignment, transaction, appointment, authorization",event
주주총회를 거래종결 후 30일 이내에 개최한다.,"meeting, compliance, governance, decision-making, scheduling",event
데이터룸을 통해 모든 정보가 공개된다.,"disclosure, transparency, information sharing, access, openness",event
매수인이 경영권을 인수한다.,"acquisition, takeover, control transfer, ownership change, management succession",event
양 당사자가 합의한 장소가 결정된다.,"agreement, negotiation, arrangement, coordination, decision",event
향후 규제 변경에 따른 대응은 매수인의 책임이다.,"responsibility, compliance, regulation, adaptation, obligation",event
거래 시너지가 실현된다.,"collaboration, partnership, cooperation, synergy, value creation",event
본 계약은 어느 일방에게 유리하게 해석되지 않는다.,"fairness, neutrality, interpretation, impartiality, balance",event
계약을 수정하거나 변경하려고 한다,"합의, 협상, 수정, 변경, 조정, 재협의",event
양 당사자는 거래종결 후 발생하는 행정적 사항에 대해 상호 협력한다.,"cooperation, administration, post-transaction, agreement, collaboration",event
대상회사는 진행 중인 분쟁이 없다.,"compliance, stability, resolution, harmony, legality",event
권리를 행사하지 않는다,"waiver, abstention, inaction, forbearance, omission",event
대상회사는 주주명부에 매수인을 기재한다,"registration, documentation, transfer, recordkeeping, ownership",event
거래종결 후 첫 회계연도의 감사가 수행된다.,"auditing, verification, compliance, financial review, assessment",event
적격 경영진으로 인정된다.,"qualification, recognition, approval, endorsement, validation",event
감사를 선임한다.,"appointment, selection, designation, decision, governance",event
대상회사의 정상영업에 미치는 영향을 고려한다.,"evaluation, assessment, impact, consideration, analysis",event
중대한 하자에 해당하지 않는 사항이 있다,"evaluation, assessment, judgment, qualification, categorization",event
비밀정보가 외부로 유출되는 것을 방지할 수 있다.,"protection, prevention, security, confidentiality, safeguarding",event
신임 이사의 선임은 주주총회 결의를 거쳐야 한다.,"decision, appointment, governance, authorization, approval",event
거래종결일이 도래한다.,"contract, deadline, closing, completion, settlement",event
주주총회가 개최되지 않는다.,"cancellation, postponement, disruption, delay, nonoccurrence",event
일방이 정당한 사유 없이 거래종결을 거부한다.,"refusal, termination, dispute, noncompliance, conflict",event
매수인은 정밀 실사를 수행할 수 있다.,"investigation, verification, assessment, analysis, evaluation",event
양 당사자는 성실히 협력한다.,"cooperation, collaboration, agreement, partnership, commitment",event
계약이 완전히 이행된다.,"completion, fulfillment, agreement, execution, compliance",event
2025년 1월 1일에 계약이 체결되었다.,"agreement, legal event, contract, transaction, initiation",event
매도인이 거래와 관련된 양도소득세를 부담한다.,"taxation, obligation, transaction, responsibility, finance",event
주식의 소유권이 이전된다.,"ownership transfer, transaction, asset exchange, investment, legal process",event
중대한 하자가 아닌 경우 매도인은 책임을 부담하지 않는다.,"liability, exemption, contract, responsibility, legal principle",event
영업일은 대한민국의 은행이 정상 영업하는 날이다.,"business day, banking, transaction, opening hours, service availability",event
영업비밀 유출이 방지된다.,"protection, prevention, confidentiality, security, safeguarding",event
대상회사는 노동 관련 법규를 준수한다.,"compliance, regulation, labor, legality, governance",event
양 당사자가 계약을 이행한다.,"agreement, fulfillment, transaction, cooperation, obligation",event
중요한 진술보증이 제28조에 정한 기간 동안 유효하다.,"contract, warranty, assurance, validity, legal protection",event
본 계약에 따른 모든 통지는 등기우편 또는 이메일로 한다.,"notification, communication, correspondence, agreement, information exchange",event
양 당사자가 장소에 합의한다.,"agreement, negotiation, consensus, coordination, arrangement",event
일관된 회계 기준이 존재한다.,"standardization, regulation, consistency, governance, accountability",event
양 당사자가 거래를 한다.,"transaction, exchange, negotiation, agreement, cooperation",event
본 거래와 관련된 비용이 각 당사자에게 발생한다.,"transaction, cost, obligation, expense, settlement",event
