Name,Type
영업일,Entity
제11조,Entity
통상의 영업 범위 내,Entity
매매대금 전액을 자기자본으로 조달함,Entity
기존 브랜드,Entity
매도인의 진술보증이 중요한 측면에서 정확할 것,Entity
손해배상 청구,Entity
대리인,Entity
손해배상,Entity
정상적으로,Entity
제3자,Entity
중요한 계약,Entity
매도인의 진술보증,Entity
매도 및 매수에 필요한 제반 사항,Entity
주식회사 델타인베스트먼트,Entity
이사회 승인을 받은 임원,Entity
연결 재무제표,Entity
주식회사 엡실론그룹 대표이사,Entity
예측,Entity
정보,Entity
제1장 총칙,Entity
손해배상 책임,Entity
제52조,Entity
배당,Entity
영향,Entity
본 계약의 일부,Entity
불가항력,Entity
감사인,Entity
주식매매계약서,Entity
규제,Entity
단순한 일시적 변동,Entity
정의,Entity
규제 변경 대응,Entity
중대한 하자가 아닌 경우,Entity
중요한 소송,Entity
해당 업무에 필요한 전문성과 경험,Entity
모든 라이선스,Entity
행정절차,Entity
핵심 임직원,Entity
등기우편,Entity
회사,Entity
이전의 서면 합의,Entity
허가,Entity
전액 현금,Entity
거래종결 후 최소 1년간,Entity
진술보증 위반,Entity
재무적 손실,Entity
미지급 대금,Entity
양 당사자,Entity
번역본,Entity
권리 불행사,Entity
향후,Entity
운전자본,Entity
대상회사의 경영 상태,Entity
모든 통지,Entity
당사자,Entity
정상영업,Entity
기존 직원,Entity
하자,Entity
합리적인 기준,Entity
2025년 1월 1일,Entity
나머지 부분,Entity
분쟁,Entity
은행,Entity
이사회 해산,Entity
공급망,Entity
분쟁 당사자,Entity
합리적인 추가 보증,Entity
거래 관련 공동 비용,Entity
정보 접근권,Entity
대상회사의 기존 이사회 해산,Entity
매도인이 지정한 계좌,Entity
제3조의 정의,Entity
법령,Entity
서면,Entity
대상회사의 기존 이사회,Entity
상호,Entity
연간 2억원 이상의 중요 계약,Entity
"금 일천오백억원(₩150,000,000,000)",Entity
중요 계약,Entity
모든 재무 정보,Entity
거래종결 전 선언된 배당,Entity
재무제표,Entity
거래,Entity
본 계약 체결일 및 거래종결일 현재,Entity
각 당사자,Entity
비용,Entity
본 계약과 관련된 분쟁,Entity
정밀 실사,Entity
통상의 영업과정,Entity
제82조,Entity
거래종결일 기준,Entity
"금 일만원(₩10,000)",Entity
처분권한,Entity
매매대금의 20%,Entity
복구 가능성 및 소요 기간,Entity
하자담보책임,Entity
