:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다.,계약 당사자들이 주식의 양도 및 양수에 대한 조건을 확인한다.,이후,"['following', 'after', 'later', 'subsequent', 'next']",[],0,Relation
계약 당사자들이 주식의 양도 및 양수에 대한 조건을 확인한다.,실제 주식 매매 절차가 진행된다.,이후,"['following', 'after', 'later', 'subsequent', 'next']",[],1,Relation
실제 주식 매매 절차가 진행된다.,주식의 소유권이 이전된다.,결과로,"['produce', 'lead to', 'give rise to', 'cause', 'result from']",[],2,Relation
주식의 소유권이 이전된다.,계약이 완전히 이행된다.,이후,"['following', 'after', 'later', 'subsequent', 'next']",[],3,Relation
주식매매계약서가 작성된다.,주식매매계약서,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],4,Relation
주식회사 델타인베스트먼트,주식회사 제타시스템즈,매도한다,"['transfer ownership', 'dispose', 'relinquish', 'sell']",[],5,Relation
주식회사 엡실론그룹,주식회사 제타시스템즈,매수한다,"['acquire', 'secure', 'purchase', 'obtain', 'buy']",[],6,Relation
주식회사 델타인베스트먼트,주식회사 엡실론그룹,계약을 체결한다,"['enter into accord', 'make contract', 'formalize deal', 'sign agreement', 'establish arrangement']",[],7,Relation
2025년 1월 1일에 계약이 체결되었다.,계약 당사자들이 계약을 검토하였다.,이전에,"['earlier', 'preceding', 'antecedent', 'before', 'prior']",[],8,Relation
주식회사 델타인베스트먼트가 매도인으로 지정되었다.,주식회사 엡실론그룹이 매수인으로 지정되었다.,동시에,"['synchronously', 'simultaneously', 'at the same time', 'concurrently']",[],9,Relation
주식회사 제타시스템즈가 대상회사로 선정되었다.,해당 계약의 주요 거래 대상이 정해졌다.,결과로,"['produce', 'lead to', 'give rise to', 'cause', 'result from']",[],10,Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 델타인베스트먼트,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],11,Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 엡실론그룹,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],12,Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 매도인으로 계약에 참여한다.,주식회사 델타인베스트먼트,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],13,Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 매도인으로 계약에 참여한다.,주식회사 제타시스템즈,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],14,Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈의 매수인으로 계약에 참여한다.,주식회사 엡실론그룹,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],15,Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈의 매수인으로 계약에 참여한다.,주식회사 제타시스템즈,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],16,Relation
제1장 총칙이 시작된다.,제1장 총칙,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],17,Relation
매도인,"대상회사 발행 보통주식 15,000,000주",보유하다,"['possess', 'hold', 'retain', 'have', 'own']",[],18,Relation
매도인,매매주식,매도하다,"['sell', 'exchange', 'dispose of', 'transfer ownership', 'relinquish']",[],19,Relation
매수인,매매주식,매수하다,"['acquire', 'procure', 'purchase', 'obtain', 'buy']",[],20,Relation
본 계약,매도 및 매수에 필요한 제반 사항,규정하다,"['determine', 'define', 'stipulate', 'prescribe', 'establish']",[],21,Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,동시에,"['synchronously', 'simultaneously', 'at the same time', 'concurrently']",[],22,Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",필요한 제반 사항을 규정한다.,결과로,"['produce', 'lead to', 'give rise to', 'cause', 'result from']",[],23,Relation
매수인이 이를 매수한다.,필요한 제반 사항을 규정한다.,결과로,"['produce', 'lead to', 'give rise to', 'cause', 'result from']",[],24,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],25,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],26,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.","보통주식 15,000,000주",is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],27,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],28,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],29,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],30,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.","보통주식 15,000,000주",is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],31,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],32,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,본 계약,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],33,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,매도,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],34,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,매수,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],35,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,"['signify', 'denote', 'indicate', 'express', 'represent']",[],36,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,"['signify', 'denote', 'indicate', 'express', 'represent']",[],37,Relation
계열회사,직간접적으로 50% 이상의 지분을 보유한 회사,의미한다,"['signify', 'denote', 'indicate', 'express', 'represent']",[],38,Relation
주식 양도가 완료된다,거래종결일이 된다,이후,"['following', 'after', 'later', 'subsequent', 'next']",[],39,Relation
대한민국의 은행이 정상 영업한다,영업일이 된다,동시에,"['synchronously', 'simultaneously', 'at the same time', 'concurrently']",[],40,Relation
한 회사가 다른 회사의 지분을 50% 이상 직간접적으로 보유한다,그 회사는 계열회사가 된다,결과로,"['produce', 'lead to', 'give rise to', 'cause', 'result from']",[],41,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,거래종결일,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],42,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,제51조,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],43,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,주식,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],44,Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,영업일,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],45,Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,대한민국,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],46,Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,은행,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],47,Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사이다.,계열회사,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],48,Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사이다.,지분,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],49,Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사이다.,회사,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],50,Relation
중대한 하자,대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항,의미한다,"['signify', 'denote', 'indicate', 'express', 'represent']",[],51,Relation
중대한 하자,객관적이고 합리적인 기준,판단된다,"['determine', 'conclude', 'assess', 'judge', 'evaluate']",[],52,Relation
단순한 일시적 변동,중대한 하자,해당하지 않는다,"['exclude', 'not belong', 'not relevant', 'not apply', 'not qualify']",[],53,Relation
업계 전반의 상황,중대한 하자,해당하지 않는다,"['exclude', 'not belong', 'not relevant', 'not apply', 'not qualify']",[],54,Relation
"""중대한 하자""란 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,이전,"['transfer', 'move', 'relocate', 'shift', 'change position']",[],55,Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,이전,"['transfer', 'move', 'relocate', 'shift', 'change position']",[],56,Relation
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,"""중대한 하자""란 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",결과로,"['produce', 'lead to', 'give rise to', 'cause', 'result from']",[],57,Relation
중대한 하자는 대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.,중대한 하자,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],58,Relation
중대한 하자는 대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.,대상회사,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],59,Relation
중대한 하자는 대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.,정상영업,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],60,Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,중대한 하자,is participated by,"['attract participation', 'be attended by', 'receive involvement', 'be engaged by']",[],61,Relation
