name:ID,type,concepts,synsets,:LABEL
주식매매계약서가 작성된다.,event,[],[],Node
계약 당사자들이 주식의 양도 및 양수에 대한 조건을 확인한다.,event,[],[],Node
실제 주식 매매 절차가 진행된다.,event,[],[],Node
주식의 소유권이 이전된다.,event,[],[],Node
계약이 완전히 이행된다.,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 델타인베스트먼트,entity,[],[],Node
주식회사 제타시스템즈,entity,[],[],Node
주식회사 엡실론그룹,entity,[],[],Node
2025년 1월 1일에 계약이 체결되었다.,event,[],[],Node
계약 당사자들이 계약을 검토하였다.,event,[],[],Node
주식회사 델타인베스트먼트가 매도인으로 지정되었다.,event,[],[],Node
주식회사 엡실론그룹이 매수인으로 지정되었다.,event,[],[],Node
주식회사 제타시스템즈가 대상회사로 선정되었다.,event,[],[],Node
해당 계약의 주요 거래 대상이 정해졌다.,event,[],[],Node
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 매도인으로 계약에 참여한다.,event,[],[],Node
주식회사 엡실론그룹이 주식회사 제타시스템즈의 매수인으로 계약에 참여한다.,event,[],[],Node
제1장 총칙이 시작된다.,event,[],[],Node
제1장 총칙,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 15,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
매도 및 매수에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",event,[],[],Node
매수인이 이를 매수한다.,event,[],[],Node
필요한 제반 사항을 규정한다.,event,[],[],Node
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 15,000,000주",entity,[],[],Node
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",event,[],[],Node
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,event,[],[],Node
매도,entity,[],[],Node
매수,entity,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
계열회사,entity,[],[],Node
직간접적으로 50% 이상의 지분을 보유한 회사,entity,[],[],Node
주식 양도가 완료된다,event,[],[],Node
거래종결일이 된다,event,[],[],Node
대한민국의 은행이 정상 영업한다,event,[],[],Node
영업일이 된다,event,[],[],Node
한 회사가 다른 회사의 지분을 50% 이상 직간접적으로 보유한다,event,[],[],Node
그 회사는 계열회사가 된다,event,[],[],Node
