node,conceptualized_node,node_type
추가 대가 지급 등의 조정은 목표 달성 시 이루어지지 않는다,"contract adjustment, payment terms, goal achievement, negotiation, agreement",event
매도인의 진술보증이 중요한 측면에서 정확하지 않다,"warranty, accuracy, legal, statement, obligation",event
"확인실사는 회계, 법무, 세무, 영업 전 분야를 포함한다","due diligence, auditing, verification, compliance, inspection",event
거래종결이 본 계약 체결일로부터 30일 이내에 이루어진다,"contract, deadline, agreement, transaction, timeline",event
대상회사는 거래종결 즉시 주주명부에 매수인을 기재한다,"transaction, registration, ownership, share transfer, corporate action",event
소유권 관련 사항은 무기한 하자담보책임이 유효하다,"legal responsibility, ownership, warranty, liability, contract",event
매도인은 거래종결 후 3개월간 원활한 경영권 이전을 위해 지원한다,"support, transition, management, cooperation, post-sale",event
연간 1억원 이상의 중요 계약은 없다,"contract, agreement, business, transaction, finance",event
정보의 정확성이 보장되었다,"verification, accuracy, validation, reliability, trustworthiness",event
검증 절차가 복잡한 사안인 경우,"verification, procedure, complexity, validation, assessment",event
매도인이 매수인이 합리적으로 요청하는 대상회사 관련 정보를 신속히 제공한다.,"information exchange, negotiation, cooperation, business transaction, data sharing",event
미지급된 배당이 매도인에게 귀속된다,"dividend, entitlement, transfer, financial rights, asset allocation",event
거래종결이 이루어진다,"transaction, agreement, closing, deal, settlement",event
"대상회사는 사업과 관련된 모든 법령, 규정을 중요한 측면에서 준수하고 있다","compliance, regulation, legal adherence, governance, accountability",event
대상회사의 사회공헌 활동은 지속된다,"social contribution, corporate responsibility, sustainability, community service, philanthropy",event
당사자들은 우호적 해결을 우선으로 한다,"negotiation, conflict resolution, diplomacy, mediation, compromise",event
매수인의 진술보증이 정확할 것,"assurance, accuracy, testimony, guarantee, reliability",event
검증 기간이 30영업일까지 연장될 수 있다,"extension, verification, deadline, approval, processing",event
사회적 책임이 이행된다,"social responsibility, accountability, ethics, corporate governance, duty",event
거래종결은 이루어진다,"transaction, completion, agreement, deal, closing",event
취득세는 매수인이 각각 부담한다,"taxation, liability, transaction, ownership, finance",event
매도인이 기존 분쟁 해결을 위해 필요한 정보를 제공한다,"information sharing, dispute resolution, communication, negotiation, cooperation",event
대상회사는 모든 환경 관련 법규를 준수하고 있다.,"compliance, environment, regulation, legal adherence, sustainability",event
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다,"contract, agreement, transaction, negotiation, sale",event
대상회사의 재무제표가 한국채택국제회계기준에 따라 작성되었다,"accounting, financial reporting, compliance, standards, auditing",event
매도인은 거래종결일까지 대상회사를 통상의 영업과정에 따라 운영한다,"business operation, transaction process, company management, routine activity, deal completion",event
거래종결 전제조건이 포기된다,"contract, termination, condition, cancellation, agreement",event
매수인은 확정된 손해배상액을 상계할 수 있다,"legal right, compensation, offset, financial settlement, contract law",event
매수인은 확정된 손해배상액을 미지급 매매대금과 상계할 수 있다,"contract law, compensation, set-off, payment, legal rights",event
매수인이 선임한 감사인이 있다,"appointment, auditing, oversight, finance, compliance",event
매매대금은 거래종결일에 전액 현금으로 지급한다,"payment, transaction, cash, settlement, finance",event
거래종결 후 발견된 부채는 매도인에게 귀속된다,"debt, liability, transaction, obligation, legal responsibility",event
각 당사자가 1부씩 보관한다,"agreement, documentation, record-keeping, transaction, custody",event
나머지 조항은 유효하다,"legal, agreement, validity, contract, clause",event
각 당사자는 자신을 위한 거래종결 전제조건을 포기할 수 있다,"contract, agreement, waiver, negotiation, legal process",event
모든 손해배상 청구는 손해액 산정 근거 및 관련 증빙을 첨부해야 한다,"legal claim, compensation, evidence, documentation, liability",event
본 계약의 일부 조항이 무효인 경우,"contract, invalidity, clause, legal issue, agreement",event
