Name,Type
경영권,Entity
중요 계약,Entity
대상회사의 재무상태,Entity
"매도인의 대상회사 발행 보통주식 10,000,000주 매도 및 매수인의 매수",Entity
매매주식의 매매,Entity
양 당사자,Entity
"보통주식 10,000,000주",Entity
성실하게,Entity
적절한 보상한도,Entity
사업,Entity
통지 기한을 도과한 경우,Entity
법령,Entity
거래종결 전,Entity
계약의 일부,Entity
대상회사,Entity
이전의 모든 구두 합의,Entity
순부채,Entity
인지한 사항,Entity
일관된 회계 기준,Entity
동일한 조건,Entity
시설,Entity
목표액,Entity
추가 대가 지급 등의 조정,Entity
주식 양도가 완료되는 날,Entity
서울특별시 강남구 소재 매도인의 사무실,Entity
거래 시너지 실현,Entity
거래종결 후 6개월 내,Entity
별첨,Entity
거래종결일 현재,Entity
주식회사 베타홀딩스,Entity
균등,Entity
필요 서류,Entity
본 계약을 체결하고 이행할 완전한 권한과 능력,Entity
거래종결 후 60일 내,Entity
규정,Entity
복잡한 사안,Entity
중요한 측면,Entity
노동 관련 법규,Entity
완전한 소유권,Entity
대한민국 법률,Entity
법령상 요구 또는 상대방의 서면 동의,Entity
거래종결일에 전액 현금으로,Entity
거래종결일까지,Entity
세무조사,Entity
양 당사자가 협의하여,Entity
정당한 사유 없이,Entity
매수인이 실사 과정에서 실제로 인지한 사항,Entity
본 계약 체결일 및 거래종결일 현재 사항의 진실성과 정확성,Entity
환경 관련 소송,Entity
서울특별시 강남구,Entity
전 직원,Entity
중요한 변경,Entity
대한민국,Entity
모든 통지,Entity
중요 문서,Entity
증빙,Entity
부채,Entity
당사자 간 완전한 합의,Entity
번역본과 불일치 시,Entity
중요한 부채,Entity
주요 고객,Entity
각 당사자,Entity
사업계획,Entity
제50조,Entity
모든 진술과 보증,Entity
1억원 이상이다,Entity
통제권,Entity
어느 일방,Entity
통지,Entity
불가항력적 사유,Entity
지적재산권,Entity
"운전자본, 순부채 등의 변동",Entity
모든 보험계약,Entity
본 계약의 별첨,Entity
법무,Entity
추가 자료,Entity
거래종결 후 최소 1년간,Entity
검증 비용,Entity
상대방의 서면 동의,Entity
주식회사 감마테크,Entity
공소시효 만료일,Entity
중요한 부정적 변동이 없음,Entity
공소시효 만료일까지,Entity
실사 과정 외에 연간 1억원 이상의 계약,Entity
매매대금이 준비됨,Entity
라이선스,Entity
2025년 1월 1일,Entity
금 일천억원,Entity
양 당사자의 서면 합의,Entity
사업 운영에 필요한 모든 지적재산권,Entity
검증 절차,Entity
모든 정보,Entity
매수인 추가 실사 요청,Entity
정부 승인,Entity
당사자들이 합의한 날,Entity
확정된 손해배상액,Entity
매수인의 진술보증이 정확함,Entity
제89조에 정한 증빙자료,Entity
계약 상대방으로부터의 위반 통지,Entity
재무 정보,Entity
대리인,Entity
실사 과정,Entity
주권,Entity
진술과 보증,Entity
대표이사,Entity
서면 합의,Entity
대상회사의 모든 중요 자산,Entity
거래종결일로부터 60일간,Entity
하자의 구체적 내용을 기술한 상세 보고서,Entity
종결 확인서,Entity
대상회사의 핵심 임직원,Entity
데이터룸,Entity
재무제표,Entity
"금 일천억원(₩100,000,000,000)",Entity
매매주식,Entity
매수인이 인지하고 있던 사항,Entity
경영권 이전,Entity
제51조,Entity
조세 관련 사항,Entity
하자 확인 여부,Entity
인지하고 있던 사항,Entity
손해배상 책임 한도,Entity
확인실사,Entity
"소송, 중재, 행정절차",Entity
기존 분쟁,Entity
하자의 구체적 내용,Entity
주당 매매가격,Entity
합리적인 가정,Entity
모든 세금,Entity
등기우편,Entity
운전자본,Entity
핵심 임직원,Entity
발송 후 3영업일 경과,Entity
은행,Entity
진술보증 사항,Entity
발견된 자산,Entity
주요 고객에 대한 통지,Entity
다음 사항,Entity
연구개발 프로젝트,Entity
본 계약상 권리의무를 제3자에게 양도,Entity
본 계약상 권리의무,Entity
계약 상대방,Entity
하자,Entity
임대차계약,Entity
15영업일,Entity
중요한 부정적 변동,Entity
모든 재무 정보,Entity
경영 자문,Entity
확정된 운전자본,Entity
시설 이전,Entity
공개된 위험,Entity
기존 브랜드,Entity
계약의 해석에 대한 분쟁,Entity
제92조,Entity
주주명부,Entity
당사자들,Entity
매수인의 책임과 비용,Entity
연간 1억원 이상의 중요 계약,Entity
본 계약의 부록,Entity
6개월,Entity
매수인이 지명한 자,Entity
선량한 관리자의 주의의무,Entity
발송,Entity
진술보증 위반,Entity
통상의 영업과정,Entity
대상회사의 이사,Entity
노동조합과의 단체협약,Entity
라이선스와 허가,Entity
부담,Entity
하자담보책임,Entity
실사,Entity
대상회사 관련 정보,Entity
거래종결 후 발생하는 행정적 사항,Entity
데이터 보호 관련 법규,Entity
손해액 산정 근거 및 관련 증빙,Entity
정보,Entity
상대방의 사전 서면 동의,Entity
거래,Entity
사회공헌 활동,Entity
제63조에 따른 제3자 검증 보고서,Entity
사업계획 및 예측,Entity
이전의 모든 서면 합의,Entity
진행 중인 연구개발 프로젝트,Entity
금 일만원,Entity
제공한 모든 정보의 정확성을 위해 최선을 다함,Entity
공개된 정보,Entity
일부 조항,Entity
대상회사의 이사로 선임한다,Entity
본 계약의 해석에 대한 분쟁,Entity
매도인,Entity
필요한 정보,Entity
한국어본,Entity
연결 재무제표,Entity
본 거래,Entity
"금 일만원(₩10,000)",Entity
제3자,Entity
매수인의 연결 재무제표,Entity
부동산의 임대차계약,Entity
합의한 날,Entity
감사보고서,Entity
통상의 영업과정에 따라,Entity
대상회사의 독립적 경영,Entity
취득세,Entity
중요한 계약,Entity
이메일,Entity
일방,Entity
증빙자료,Entity
상대방,Entity
대상회사의 모든 보험계약,Entity
지정한 계좌,Entity
목표 달성,Entity
관련 등기 절차,Entity
주요 고객과의 관계 유지,Entity
자신을 위한 거래종결 전제조건,Entity
어느 일방에게 유리하게,Entity
재무상태,Entity
예측 정보,Entity
소유권 관련 사항,Entity
대상회사의 자산,Entity
거래종결 시,Entity
영업,Entity
하자담보책임 청구,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
중요한 측면에서 정확하다,Entity
3년,Entity
대한상사중재원의 중재,Entity
제3자 검증 보고서,Entity
요청,Entity
업데이트 기간,Entity
한국어,Entity
외부 전문가 의견서,Entity
절차,Entity
