name:ID,type,concepts,synsets,numeric_id,:LABEL
주식회사 알파벤처스,entity,[],[],0,Node
계약,entity,[],[],1,Node
주식회사 베타홀딩스,entity,[],[],2,Node
주식회사 감마테크,entity,[],[],3,Node
2025년 1월 1일,entity,[],[],4,Node
주식회사 알파벤처스가 주식회사 베타홀딩스와 계약을 체결했다.,event,[],[],5,Node
계약의 대상이 주식회사 감마테크이다.,event,[],[],6,Node
본 계약,entity,[],[],7,Node
"매도인의 대상회사 발행 보통주식 10,000,000주 매도 및 매수인의 매수",entity,[],[],8,Node
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],9,Node
매도인,entity,[],[],10,Node
대상회사,entity,[],[],11,Node
"보통주식 10,000,000주",entity,[],[],12,Node
매수인,entity,[],[],13,Node
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",event,[],[],14,Node
거래종결일,entity,[],[],15,Node
주식 양도가 완료되는 날,entity,[],[],16,Node
제51조,entity,[],[],17,Node
영업일,entity,[],[],18,Node
대한민국의 은행,entity,[],[],19,Node
중요한 부정적 변동,entity,[],[],20,Node
대상회사의 재무상태,entity,[],[],21,Node
대상회사의 영업,entity,[],[],22,Node
대상회사의 자산,entity,[],[],23,Node
제51조에 따라 주식 양도가 완료된다,event,[],[],24,Node
주식 양도,entity,[],[],25,Node
대한민국의 은행이 정상 영업한다,event,[],[],26,Node
대한민국,entity,[],[],27,Node
은행,entity,[],[],28,Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다",event,[],[],29,Node
재무상태,entity,[],[],30,Node
영업,entity,[],[],31,Node
자산,entity,[],[],32,Node
양 당사자,entity,[],[],33,Node
상호 선의와 신뢰,entity,[],[],34,Node
양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다,event,[],[],35,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],36,Node
이전의 모든 구두 또는 서면 합의,entity,[],[],37,Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다,event,[],[],38,Node
본 계약이 매매주식의 매매와 관련한 모든 합의를 포함함,event,[],[],39,Node
이전의 모든 구두 또는 서면 합의가 대체된다,event,[],[],40,Node
매매주식의 매매,entity,[],[],41,Node
당사자,entity,[],[],42,Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다,event,[],[],43,Node
이전의 모든 구두 합의,entity,[],[],44,Node
이전의 모든 서면 합의,entity,[],[],45,Node
매매주식의 총 매매가격,entity,[],[],46,Node
"금 일천억원(₩100,000,000,000)",entity,[],[],47,Node
주당 매매가격,entity,[],[],48,Node
"금 일만원(₩10,000)",entity,[],[],49,Node
매매주식의 총 매매가격은 금 일천억원으로 한다,event,[],[],50,Node
주당 매매가격은 금 일만원으로 한다,event,[],[],51,Node
매매주식의 총 매매가격은 금 일천억원으로 정해졌다.,event,[],[],52,Node
매매주식,entity,[],[],53,Node
총 매매가격,entity,[],[],54,Node
금 일천억원,entity,[],[],55,Node
주당 매매가격은 금 일만원으로 정해졌다.,event,[],[],56,Node
금 일만원,entity,[],[],57,Node
진술과 보증,entity,[],[],58,Node
본 계약 체결일,entity,[],[],59,Node
모든 진술과 보증은 본 계약 체결일을 기준으로 한다,event,[],[],60,Node
모든 진술과 보증은 거래종결일을 기준으로 한다,event,[],[],61,Node
모든 진술과 보증,entity,[],[],62,Node
각 당사자,entity,[],[],63,Node
제3자,entity,[],[],64,Node
법령상 요구 또는 상대방의 서면 동의,entity,[],[],65,Node
비밀정보 공개 금지,entity,[],[],66,Node
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다,event,[],[],67,Node
법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다,event,[],[],68,Node
상대방의 비밀정보,entity,[],[],69,Node
법령,entity,[],[],70,Node
상대방의 서면 동의,entity,[],[],71,Node
추가 실사,entity,[],[],72,Node
거래종결 전,entity,[],[],73,Node
매수인 추가 실사 요청,entity,[],[],74,Node
