node,conceptualized_node,node_type
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,"business, regulation, banking, operation, transaction",event
운전자본이 증가한다.,"growth, increase, finance, capital, investment, expansion",event
매매가격이 조정된다.,"price adjustment, negotiation, market change, transaction, valuation",event
운전자본은 유동자산에서 유동부채를 뺀 값이다,"accounting, calculation, liquidity, finance, measurement",event
가격이 하향 조정된다.,"adjustment, reduction, fluctuation, correction, change",event
한국어본이 우선한다.,"prioritization, selection, preference, decision-making, language choice",event
조건이 있다.,"limitation, restriction, requirement, stipulation, constraint",event
매매가격에서 부채 증가분이 차감된다.,"deduction, calculation, adjustment, finance, liability",event
정보가 정확하다.,"accuracy, correctness, verification, reliability, validation",event
거래종결일은 제43조에 따라 계약일로부터 90일 후로 정의된다.,"contractual definition, timeline, legal specification, transaction period, agreement terms",event
새 이사를 선임한다.,"appointment, selection, leadership, decision, administration",event
주주명부에 매수인을 기재한다.,"registration, documentation, recordkeeping, transaction, ownership transfer",event
추가로 발견된 부채가 있다.,"discovery, finding, possession, acquisition, evidence",event
서명이 완료된다.,"completion, agreement, authorization, confirmation, validation",event
거래종결일은 당사자 합의로 변경할 수 없다.,"contract, agreement, restriction, finality, negotiation",event
거래비용을 각자가 부담한다.,"allocation, responsibility, division, cost-sharing, agreement",event
각자가 세금을 부담한다.,"obligation, contribution, responsibility, payment, compliance",event
운전자본이 감소한다.,"finance, liquidity, business operations, cash flow, resource reduction",event
제33조가 적용된다.,"legal process, regulation, enforcement, compliance, governance",event
핵심인력 유지 노력한다.,"retention, management, motivation, workforce, loyalty",event
협력 강화가 이루어진다.,"collaboration, partnership, alliance, unity, teamwork",event
자산은 매수인에게 귀속된다.,"ownership transfer, acquisition, assignment, transaction, conveyance",event
권리가 완전하게 이전된다.,"transfer, assignment, conveyance, change, succession",event
매수인이 규제에 대응한다.,"compliance, adaptation, negotiation, adjustment, regulation",event
조건이 더 이상 적용되지 않는다.,"termination, cessation, exclusion, invalidation, discontinuation",event
기존 배당이 매도인에게 귀속된다.,"allocation, entitlement, distribution, ownership, transaction",event
제68조가 시행된다.,"enforcement, implementation, legislation, regulation, governance",event
운전자본 증감분이 매매가격에 100% 반영된다.,"valuation, pricing, transaction, adjustment, reflection",event
불이행이 발생한다.,"violation, breach, failure, disruption, noncompliance",event
2025년 4월 1일을 거래종결일로 정한다.,"contracting, agreement, settlement, scheduling, finalization",event
양 당사자가 본 계약의 이행에 있어 성실히 협력한다.,"cooperation, agreement, obligation, collaboration, partnership, compliance",event
이를 통상의 영업과정으로 본다.,"business, transaction, routine, process, commerce",event
거래종결일에 지급한다.,"payment, settlement, transaction, fulfillment, completion",event
한국어본이 다른 언어본보다 우선한다.,"priority, preference, selection, hierarchy, decision",event
제54조가 서울에서 종결된다.,"termination, conclusion, legal process, resolution, finalization",event
불가항력으로 인해 면책된다.,"exemption, liability, force majeure, legal defense, uncontrollable event",event
기한이 정해진다.,"limitation, scheduling, restriction, planning, deadline, organization",event
각 1부씩 보관한다.,"distribution, preservation, documentation, recordkeeping, archiving",event
매매주식을 양도한다.,"transfer, transaction, liquidation, ownership change, exchange",event
3개월 동안 지원이 제공된다.,"assistance, support, provision, duration, service",event
배상한도가 매매대금 20%로 제한된다.,"limitation, restriction, compensation, liability, regulation",event
매수인은 권한을 보유한다.,"authorization, entitlement, empowerment, legal right, possession",event
하자담보가 1년간 유효하다.,"warranty, guarantee, protection, assurance, coverage",event
법규를 준수한다.,"compliance, obedience, regulation, discipline, order",event
보관이 이루어진다.,"storage, preservation, safekeeping, organization, protection",event
비밀정보가 외부로 유출되지 않는다.,"protection, confidentiality, security, privacy, safeguarding",event
위반이 발생한다.,"transgression, infraction, misconduct, violation, wrongdoing",event
운전자본 계산의 기준일을 직전 회계연도 말로 정한다.,"accounting, standardization, calculation, regulation, finance",event
통지를 등기우편으로 한다.,"notification, communication, delivery, verification, documentation",event
공동비용이 발생한다.,"cost sharing, expense, cooperation, obligation, contribution",event
전체 배상액이 매매대금의 20%를 초과할 수 없다.,"limitation, compensation, restriction, regulation, contract",event
대한민국 법률에 따라 해석한다,"legal interpretation, jurisdiction, governance, regulation, adjudication",event
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,"cooperation, trust, goodwill, relationship, agreement",event
규제에 대응하는 책임이 매수인에게 있다.,"책임, 의무, 규정, 준수, 거래",event
공정하고 객관적인 기준이 있다.,"evaluation, standardization, objectivity, assessment, fairness",event
2025년 4월 1일이 도래한다.,"time, arrival, future, anticipation, passage",event
거래종결일 운전자본과 비교하여 조정한다.,"adjustment, comparison, evaluation, financial analysis, transaction",event
양 당사자가 본 계약을 이행한다.,"agreement, fulfillment, transaction, cooperation, obligation",event
배상한다.,"compensation, repayment, restitution, redress, amends",event
보험을 유지한다.,"protection, risk management, financial planning, security, continuity",event
일방 당사자가 상대방의 동의 없이 권리를 양도할 수 없다.,"restriction, limitation, consent, authorization, legal principle, transfer",event
세금을 적시에 납부했다.,"납부, 준수, 의무, 책임, 성실",event
세금은 발생한다.,"taxation, obligation, payment, finance, imposition",event
제19조에 따라 모든 라이선스가 유효하다.,"validation, authorization, regulation, compliance, licensing",event
운전자본이 감소할 경우 가격이 하향 조정된다.,"price adjustment, cost reduction, market response, economic change, financial impact",event
계약일로부터 90일 후가 된다.,"deadline, expiration, timing, contract period, time limit",event
제4장 거래종결이 언급된다.,"agreement, completion, negotiation, contract, finalization",event
해당 문서에는 중요부채가 공개된 것 외에 존재하지 않는다.,"disclosure, transparency, reporting, documentation, revelation",event
임대차계약을 정상적으로 유지한다.,"contract maintenance, agreement, continuity, stability, compliance",event
모든 가격 조정은 공정하고 객관적인 기준에 따른다.,"regulation, standardization, fairness, objectivity, adjustment",event
사회에 긍정적인 영향이 발생한다.,"benefit, improvement, progress, influence, advancement",event
"주당 기준가격은 금 일만원(₩10,000)으로 한다.","pricing, valuation, regulation, finance, standardization",event
자산이 양호하다.,"stability, sufficiency, wellbeing, prosperity, security",event
매매주식은 제한 없이 양도된다.,"transfer, transaction, trading, exchange, ownership",event
노동과 관련된 권리와 의무가 보호된다.,"protection, rights, obligations, labor, justice",event
기존 브랜드를 사용한다.,"brand loyalty, habitual behavior, preference, repeat purchase, trust",event
매수인이 매매주식을 매수한다,"transaction, investment, acquisition, exchange, trading",event
배당 재원은 차입금으로 조달 가능하다.,"financing, distribution, borrowing, funding, investment",event
중요계약이 공개 외에는 존재하지 않는다.,"disclosure, transparency, limitation, exclusivity, confidentiality",event
자산 양호하다.,"financial stability, wealth, prosperity, security, abundance",event
유동자산이 운전자본 계산에 사용된다,"회계, 재무관리, 자산관리, 분석, 계산",event
연결이 이루어진다.,"connection, interaction, communication, networking, unification",event
적극 협력한다.,"cooperation, collaboration, teamwork, support, alliance",event
최종 매매가격이 확정된다.,"agreement, confirmation, transaction, settlement, finalization",event
권리를 포기한 것으로 간주하지 않는다.,"preservation, retention, assertion, protection, entitlement",event
매수인이 감사를 선임한다.,"appointment, selection, authorization, oversight, governance",event
공정하고 객관적인 기준에 따라야 한다.,"fairness, objectivity, standardization, evaluation, impartiality",event
중재를 진행한다.,"mediation, negotiation, conflict resolution, intervention, facilitation",event
제90조의 성과에 대해 추가조정이 없다.,"decision, agreement, assessment, negotiation, resolution",event
제77조에서 운전자본을 정의한다.,"definition, regulation, provision, explanation, stipulation",event
권리를 포기한 것은 아니다.,"reservation, retention, protection, assertion, rights",event
수정한다.,"modification, correction, adjustment, revision, improvement",event
"매도인, 매수인, 대상회사가 각각 지정되었다","designation, assignment, agreement, identification, transaction",event
서울중앙지방법원이 관할이다.,"jurisdiction, legal authority, court system, governance, adjudication",event
"매매주식의 기준 매매가격을 금 일천억원(₩100,000,000,000)으로 정한다.","transaction, valuation, pricing, standardization, regulation",event
분쟁이 발생한다.,"conflict, confrontation, disagreement, escalation, discord",event
공개계약이 존재한다.,"agreement, disclosure, transparency, contract, openness",event
종결한다.,"ending, termination, closure, conclusion",event
시설이 계속 정상적으로 사용된다.,"maintenance, operation, continuity, functionality, service",event
대리인이 선임된다.,"appointment, delegation, representation, authorization, assignment",event
필요 권리 보유한다.,"entitlement, authorization, ownership, permission, rights",event
소유자는 재산을 자유롭게 처분할 수 있다.,"ownership, control, authority, property rights, autonomy",event
제3장은 진술 및 보증에 대해 다룬다.,"contract, agreement, assurance, validation, legal discussion",event
제17조가 시행된다.,"legislation, enforcement, regulation, governance, implementation",event
운전자본이 변동하면 매매가격이 변동한다.,"price fluctuation, financial change, market reaction, economic dynamics, valuation",event
제106조를 해석한다.,"interpretation, analysis, explanation, legal reasoning, comprehension",event
거래가 종결된다.,"completion, closure, agreement, settlement, finalization",event
필요서류를 준비한다.,"preparation, organization, documentation, planning, paperwork",event
규제가 발생한다.,"restriction, limitation, governance, intervention, control",event
임대인과 임차인 모두 계약상의 권리와 의무를 이행한다.,"contract performance, obligation fulfillment, legal compliance, agreement execution, responsibility",event
문서의 언어가 한국어와 다른 언어로 존재한다.,"translation, multilingualism, communication, interpretation, documentation",event
운전자본이 증가할 경우 가격이 상향 조정된다.,"pricing, adjustment, cost increase, market reaction, economic change",event
필요서류를 인도한다.,"delivery, submission, transfer, documentation, handover",event
운전자본과 부채 변동이 발생한다.,"financial change, liability adjustment, capital shift, resource allocation, balance alteration",event
제86조가 사회적 책임을 다한다는 내용을 규정한다.,"regulation, responsibility, governance, obligation, compliance",event
계약일이 발생한다.,"agreement, initiation, commencement, transaction, formalization",event
인지사항이 면책된다.,"exemption, waiver, negation, release, discharge",event
3개월 지원한다.,"assistance, support, provision, offering, duration",event
환경 관련 문제가 줄어든다,"improvement, sustainability, preservation, recovery, mitigation",event
청구를 서면으로 한다.,"application, submission, documentation, procedure, request",event
매도인이 거래종결 전에 배당을 실시한다.,"distribution, allocation, transaction, settlement, payment",event
계약을 성실하게 이행한다.,"agreement, fulfillment, obligation, responsibility, trust",event
매수인은 완전한 권리를 행사할 수 있다.,"entitlement, authorization, ownership, legal rights, empowerment",event
각 당사자는 비밀정보를 보호한다.,"confidentiality, protection, obligation, responsibility, secrecy",event
매도인이 대금을 준비한다.,"payment, preparation, transaction, obligation, settlement",event
계약 당사자들이 확정되었다,"agreement, confirmation, authorization, validation, partnership",event
경영권이 이전된다.,"succession, leadership change, authority transfer, transition, power shift",event
매매가격이 운전자본과 부채 변동에 따라 조정된다.,"가격조정, 변동, 평가, 재조정, 금융, 자본, 부채, 거래",event
주식매매계약서가 작성된다.,"contracting, agreement, transaction, documentation, negotiation",event
일부 규정이 무효가 되더라도 나머지 규정은 유효하다.,"legal principle, severability, contract interpretation, validity, enforceability",event
공동비용을 균분한다.,"distribution, sharing, allocation, cooperation, fairness",event
세금 적시 납부했다.,"payment, compliance, responsibility, duty, obligation",event
협력한다.,"teamwork, collaboration, partnership, cooperation, joint effort",event
제75조가 적용된다.,"application, legislation, enforcement, regulation, compliance",event
거래종결일 운전자본과 비교하여 운전자본을 조정한다.,"adjustment, calculation, financial analysis, comparison, evaluation",event
제46조에 명시된다.,"legal provision, regulation, legislation, stipulation, codification",event
성과가 발생한다.,"achievement, progress, accomplishment, result, success",event
불가항력이 발생한다.,"disaster, accident, inevitability, unpredictability, crisis",event
영업비밀을 보호한다.,"protection, confidentiality, safeguarding, secrecy, prevention",event
각 당사자가 제99조에 동의한다.,"agreement, consent, acceptance, legal process, contract",event
브랜드가 존재한다.,"existence, identity, recognition, branding, differentiation",event
제5장 거래종결 후 사항이 규정된다.,"contracting, regulation, finalization, agreement, stipulation",event
주식회사 뉴파이낸스의 대표이사가 2025년 1월 1일에 서명한다.,"agreement, authorization, leadership, documentation, approval",event
중요계약은 공개 외에는 존재하지 않는다.,"disclosure, transparency, exclusivity, regulation, confidentiality",event
완전한 합의를 구성한다.,"agreement, consensus, settlement, negotiation, unification",event
현재 시점이다.,"present, immediacy, time, moment, existence",event
운전자본 = 유동자산 - 유동부채라는 공식이 정의된다,"definition, calculation, formula, accounting, finance",event
2024년 12월 31일 기준 운전자본을 목표로 한다.,"financial planning, goal setting, resource management, performance measurement",event
