Name,Type
2024년 12월 31일,Entity
상대방 당사자,Entity
제37조,Entity
매매대금,Entity
종결 절차,Entity
다음 사항,Entity
세무,Entity
CSR,Entity
상계,Entity
제50조,Entity
제74조,Entity
공급계약,Entity
제5장,Entity
매도인,Entity
수령인,Entity
임원,Entity
대상회사,Entity
공개 외,Entity
운전자본,Entity
운영,Entity
매입채무,Entity
유동자산,Entity
조정된 최종 매매가격,Entity
"일천억원(₩100,000,000,000)",Entity
실제 운전자본과 목표 운전자본의 차이,Entity
수신자,Entity
손해배상,Entity
부채 증가분,Entity
진술보증,Entity
주식매매계약서,Entity
제71조,Entity
계약,Entity
언어,Entity
인도하는 자,Entity
차입금 증가,Entity
대리인,Entity
대리,Entity
인지사항,Entity
운전자본 증감분,Entity
인지 사항,Entity
제16조,Entity
보증,Entity
세금,Entity
제52조의 전제조건,Entity
운전자본 계산의 기준일,Entity
데이터,Entity
최종 매매가격,Entity
협력 강화,Entity
종결확인서,Entity
규제,Entity
감사,Entity
계약 체결일,Entity
지급인,Entity
"대상회사 발행 보통주식 10,000,000주",Entity
거래종결 전 배당,Entity
서명,Entity
비밀정보,Entity
제95조,Entity
소유권,Entity
제3장,Entity
기존 배당,Entity
성과 추가조정 없음,Entity
2025년 1월 1일,Entity
제27조,Entity
시설,Entity
완전한 합의,Entity
경쟁 사업,Entity
다른 언어본,Entity
"일만원(₩10,000)",Entity
보험,Entity
노동,Entity
직전 회계연도 말,Entity
본 계약 체결일,Entity
협력,Entity
제106조,Entity
유동자산 - 유동부채,Entity
요청,Entity
새 이사,Entity
지원,Entity
제109조,Entity
현금,Entity
2024년 12월 31일 기준,Entity
변경,Entity
거래종결,Entity
합리적 예측,Entity
포기,Entity
통지자,Entity
제45조,Entity
제102조,Entity
주식회사 오미크론테크,Entity
제한,Entity
제한 없이,Entity
기준,Entity
하자담보,Entity
각 1부씩 보관,Entity
기한,Entity
거래종결일 운전자본,Entity
중요부채,Entity
주당 기준가격,Entity
제4장,Entity
매매주식 매매에 필요한 제반 사항,Entity
객관적인 기준,Entity
종결,Entity
차입금,Entity
합리적 추가보장 제공,Entity
목표 운전자본,Entity
노동법,Entity
매매주식,Entity
조직,Entity
공정한 기준,Entity
거래종결일,Entity
배상한도,Entity
자산,Entity
제43조의 거래,Entity
서울중앙지방법원,Entity
추가보장,Entity
기존 브랜드,Entity
고객,Entity
본 계약 체결일로부터 정확히 90일 후,Entity
대금 준비,Entity
적절한 보험,Entity
계좌정보,Entity
연결재무제표,Entity
계좌,Entity
정보,Entity
주식회사 뉴파이낸스,Entity
예측,Entity
대한민국 법률,Entity
단기차입금,Entity
소유자,Entity
경영권,Entity
불이행,Entity
이메일,Entity
환경,Entity
실제 운전자본,Entity
필요 권리,Entity
제44조,Entity
자금,Entity
제56조,Entity
거래종결 후 사항,Entity
조건,Entity
배당 재원 조달,Entity
중재,Entity
거래종결일로부터 1년간,Entity
진술,Entity
이사,Entity
거래종결일 운전자본과 비교하여,Entity
요청 정보,Entity
거래비용,Entity
각 당사자,Entity
수령자,Entity
개인정보,Entity
선임하는 자,Entity
부동산,Entity
거래 당사자,Entity
제77조,Entity
통지를 받는 자,Entity
제1장 총칙,Entity
제94조,Entity
대한민국의 은행,Entity
매매가격,Entity
회계,Entity
당사자,Entity
법규 준수,Entity
2025년 4월 1일,Entity
운전자본 증가,Entity
제54조,Entity
시너지,Entity
제6장 일반조항,Entity
등기우편,Entity
나머지,Entity
일부 규정,Entity
재고자산,Entity
수정,Entity
공동비용,Entity
불행사,Entity
공급,Entity
매수인,Entity
부채 변동,Entity
상대방,Entity
가격,Entity
권한 보유,Entity
분쟁,Entity
권리,Entity
"보통주식 10,000,000주",Entity
상대방 동의 없이,Entity
주주명부,Entity
제83조,Entity
제85조,Entity
계약일,Entity
매매대금 20%,Entity
법규,Entity
통지하는 자,Entity
제93조,Entity
계약일로부터 90일 후,Entity
행정사항,Entity
제90조,Entity
부록,Entity
매매주식의 기준 매매가격,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
서울,Entity
핵심인력,Entity
고객 관계,Entity
지적재산권,Entity
위반,Entity
나머지 규정,Entity
부채,Entity
모든 라이선스,Entity
거래종결 전 행위,Entity
완전한 권리,Entity
각자,Entity
제43조,Entity
주식회사 크사이인베스트,Entity
사회책임,Entity
차입금 10억 증가,Entity
영업비밀,Entity
환경법규,Entity
배당 재원,Entity
청구,Entity
당사자 합의,Entity
제86조,Entity
운전자본 감소,Entity
없음,Entity
배상,Entity
양도,Entity
고용,Entity
협력 당사자들,Entity
본 계약,Entity
한국어본,Entity
10억,Entity
불가항력,Entity
서면합의,Entity
대한민국의 은행이 정상 영업하는 날,Entity
유동부채,Entity
공정하게,Entity
양 당사자,Entity
통상 영업과정,Entity
직원,Entity
매출채권,Entity
통지,Entity
가격 조정,Entity
완전합의,Entity
대표이사,Entity
제14조의 조정 메커니즘,Entity
일부,Entity
제43조의 거래종결일,Entity
경업금지 조항,Entity
임대차계약,Entity
3개월,Entity
통상의 영업과정,Entity
충분한 자금,Entity
제99조,Entity
서면,Entity
주체,Entity
중요계약,Entity
인도받는 자,Entity
우호적 해결,Entity
등기,Entity
영업일,Entity
제한 없는 완전한 소유권,Entity
원만히,Entity
공동자,Entity
문서,Entity
공개,Entity
대금,Entity
필요서류,Entity
일관된 기준,Entity
제25조,Entity
3년간 경쟁 사업,Entity
통상 영업과정 유지,Entity
연결,Entity
성과,Entity
20억,Entity
연구개발 계속,Entity
재무제표,Entity
일방 당사자,Entity
브랜드,Entity
제24조,Entity
제45조가 인지 사항을 제외한다.,Event
매도인이 거래종결 전에 배당을 실시한다.,Event
매수인이 권한을 보유한다.,Event
배상한도가 매매대금 20%로 제한된다.,Event
보험 사고 발생 시 보상을 받을 수 있다.,Event
서면합의가 이루어진다.,Event
종결확인서를 작성한다.,Event
고객 관계를 원만히 유지한다.,Event
서명란에 대표이사가 서명한다.,Event
제46조에 명시된다.,Event
계약의 일부 조항이 무효가 된다.,Event
세금은 발생한다.,Event
매수인에게 책임이 발생한다.,Event
