":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"주식매매계약서가 작성된다","주식매매계약서","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"주식회사 카파벤처스","주식회사 뮤테크놀로지","매도한다","['relinquish', 'hand over', 'sell', 'transfer ownership', 'dispose']","[]","Relation"
"주식회사 람다홀딩스","주식회사 뮤테크놀로지","매수한다","['purchase', 'acquire', 'take ownership', 'obtain']","[]","Relation"
"주식회사 카파벤처스","주식회사 람다홀딩스","계약 체결한다","['reach settlement', 'establish terms', 'make agreement', 'form contract', 'formalize deal']","[]","Relation"
"계약일자","2025년 1월 1일","지정한다","['appoint', 'select', 'choose', 'designate', 'name', 'assign']","[]","Relation"
"2025년 1월 1일에 계약일자가 정해졌다.","계약 당사자인 주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.","이후","['sequence', 'following', 'progression', 'succession', 'after']","[]","Relation"
"주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.","주식회사 뮤테크놀로지가 거래 대상회사가 되었다.","결과로","['result in', 'cause', 'give rise to', 'produce', 'generate', 'bring about', 'lead to']","[]","Relation"
"주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.","주식회사 카파벤처스","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.","주식회사 람다홀딩스","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"주식회사 카파벤처스가 주식회사 뮤테크놀로지의 주식을 매도한다.","주식회사 카파벤처스","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"주식회사 카파벤처스가 주식회사 뮤테크놀로지의 주식을 매도한다.","주식회사 뮤테크놀로지","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 주식을 매수한다.","주식회사 람다홀딩스","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 주식을 매수한다.","주식회사 뮤테크놀로지","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"제1장 총칙이 시작된다.","제1장 총칙","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"매도인","대상회사 발행 보통주식 12,000,000주","보유하다","['possess', 'have', 'hold', 'own', 'retain']","[]","Relation"
"매도인","매매주식","매도하다","['relinquish', 'divest', 'sell', 'transfer ownership', 'dispose']","[]","Relation"
"매수인","매매주식","매수하다","['obtain', 'buy', 'purchase', 'acquire', 'invest']","[]","Relation"
"계약","매도와 매수에 필요한 제반 사항","규정하다","['establish', 'prescribe', 'stipulate', 'define', 'set rules']","[]","Relation"
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.","매수인이 매매주식을 매도인으로부터 매수한다.","동시에","['at the same time', 'simultaneously', 'concurrently', 'in parallel']","[]","Relation"
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.","매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.","결과로","['result in', 'cause', 'give rise to', 'produce', 'generate', 'bring about', 'lead to']","[]","Relation"
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.","매도인","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.","대상회사","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.","보통주식 12,000,000주","is participated by","['be involved with', 'be attended by', 'be joined by', 'be engaged with', 'be taken part in']","[]","Relation"
