node,conceptualized_node,node_type
우호적 해결을 우선한다.,"mediation, negotiation, compromise, diplomacy, reconciliation",event
제106조를 해석한다.,"interpretation, analysis, legal reasoning, understanding, explanation",event
필요 서류를 인도한다.,"delivery, transfer, documentation, exchange, submission",event
전제조건이 더 이상 요구되지 않는다.,"change, relaxation, release, liberation, removal",event
어떤 조항의 일부가 무효가 된다.,"invalidation, nullification, legal change, amendment, contract modification",event
청구인은 서면으로 보상을 청구한다.,"compensation, claim, request, application, legal action",event
분쟁이 발생한다.,"conflict, confrontation, dispute, escalation, disagreement",event
불가항력이 면책된다.,"exemption, liability, immunity, justification, responsibility",event
매수인이 진술을 한다.,"statement, negotiation, communication, transaction, representation",event
공동비용이 발생한다.,"cost sharing, expense, distribution, finance, collaboration",event
각 당사자는 본 계약과 관련하여 취득한 비밀정보를 보호한다.,"confidentiality, protection, obligation, information security, compliance",event
매매대금은 거래종결일에 전액 현금으로 지급한다.,"payment, transaction, settlement, cash payment, contract fulfillment",event
매수인의 진술보증이 정확하다.,"confirmation, assurance, verification, validation, trust",event
제공 정보는 정확하다.,"accuracy, authenticity, verification, trustworthiness, reliability",event
통지를 불이행한다.,"violation, neglect, omission, disobedience, noncompliance",event
시설이 존재한다.,"existence, presence, infrastructure, establishment, availability",event
정보의 정확성이 보장된다.,"reliability, verification, trust, assurance, certainty",event
주식회사 카파벤처스의 대표이사가 서명한다.,"authorization, endorsement, approval, leadership, decision-making",event
비밀정보 보호 의무에서 예외로 한다.,"exception, disclosure, exemption, permission, confidentiality",event
성과에 추가 조정이 없다.,"stability, maintenance, consistency, status quo, uniformity",event
매도인은 다음 사항을 보증한다.,"warranty, assurance, guarantee, certification, responsibility",event
거래종결일이 발생한다.,"계약체결, 완료, 종료, 합의, 법적행위",event
해석 결과가 공정하게 도출된다.,"evaluation, fairness, interpretation, judgment, resolution",event
진술보증 위반 시 손해를 배상한다.,"compensation, liability, breach, indemnification, obligation",event
모든 라이선스가 유효하게 유지된다.,"maintenance, validation, compliance, authorization, regulation",event
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,"operation, regulation, scheduling, business, service",event
핵심 임직원의 근무 유지를 위해 노력한다.,"retention, motivation, management, engagement, loyalty",event
시설을 유지한다.,"maintenance, management, preservation, operation, upkeep",event
종결 장소를 지정한다.,"decision, planning, designation, finalization, arrangement",event
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.","transaction, stock sale, transfer, acquisition, investment",event
연구개발 활동이 지속적으로 이루어진다.,"innovation, progress, experimentation, advancement, discovery",event
3개월간 지원이 제공된다.,"assistance, benefit, duration, allocation, provision",event
운전자본 등의 변동이 발생한다.,"change, fluctuation, adjustment, finance, management",event
상계된 금액만큼 실제 지급액이 결정된다.,"settlement, calculation, adjustment, determination, payment",event
관련 권리가 자동 소멸한다,"expiration, termination, invalidation, forfeiture, cessation",event
중재가 이루어진다.,"negotiation, conflict resolution, intervention, agreement, facilitation",event
데이터를 다룬다.,"processing, analysis, management, handling, organization",event
제3장 진술 및 보증의 세부 조항이 기술된다.,"legal drafting, documentation, warranty, representation, contract formation",event
모든 권리가 완전히 이전된다.,"transfer, assignment, ownership, authorization, transaction",event
거래종결이 계약일로부터 30일 내에 이루어진다.,"transaction, deadline, completion, agreement, timeline",event
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.","contract, transaction, valuation, agreement, negotiation",event
관련 법규를 준수한다.,"compliance, regulation, adherence, legality, governance",event
수정은 서면 합의로 이루어진다.,"agreement, negotiation, documentation, consent, authorization",event
부록이 계약의 일부가 된다.,"agreement, integration, inclusion, validation, documentation",event
재무제표는 정확하다.,"verification, accuracy, trust, reliability, validation",event
대한민국 법률에 따른다는 내용이 명시된다.,"legal compliance, regulation, governance, jurisdiction, authority",event
적극적으로 경영을 지원한다.,"support, management, leadership, facilitation, collaboration",event
제7조의 적시 통지를 하지 못한 경우,"breach, notification, omission, noncompliance, delay",event
조건 포기가 발생한다.,"renunciation, withdrawal, loss, compromise, change",event
부록도 계약의 일부이다.,"agreement, inclusion, documentation, validation, confirmation",event
거래가 이루어진다,"exchange, transaction, agreement, negotiation, commerce",event
진술보증 위반 관련 통지를 놓친 경우,"위험관리, 법적분쟁, 계약실패, 책임, 손해",event
제106조가 존재한다.,"existence, legislation, rule-making, law, regulation",event
요청 정보를 신속히 제공한다.,"response, assistance, communication, support, efficiency",event
특별조항이 별도의 통지 규정을 따른다.,"notification, exception, regulation, compliance, communication",event
제104조의 내용을 성실히 이행한다.,"compliance, obligation, fulfillment, agreement, responsibility",event
진술보증 및 하자담보 관련 사항이 특별조항으로 분류된다.,"classification, legal provision, contract, warranty, liability",event
대금이 준비되어야 한다.,"payment, transaction, obligation, preparation, finance",event
기한을 엄수한다.,"punctuality, responsibility, discipline, reliability, commitment",event
시너지를 위해 협력한다.,"collaboration, teamwork, cooperation, partnership, synergy",event
모든 계약을 성실히 이행 중이다.,"compliance, responsibility, diligence, integrity, fulfillment",event
특별조항에 관한 통지를 등기우편 이외의 방법으로 하면 효력이 없다.,"notification, regulation, validity, communication, compliance",event
주식을 소유하게 된다.,"investment, ownership, acquisition, finance, wealth",event
계약이 체결되었다.,"agreement, transaction, partnership, formalization, commitment",event
지원이 강화된다.,"improvement, enhancement, reinforcement, development, empowerment",event
라이선스가 유효하게 유지된다.,"validation, authorization, continuation, compliance, permission",event
세금을 부담한다.,"payment, obligation, contribution, responsibility, finance",event
제93조가 규정된다.,"legislation, regulation, stipulation, enactment, governance",event
경영권이 이전된다.,"succession, transfer, transition, acquisition, leadership change, ownership",event
종결이 확정된다.,"ending, closure, resolution, finalization, conclusion",event
상대방 동의 없이 권리의무를 양도한다,"assignment, transfer, delegation, violation, breach",event
양 당사자는 본 계약을 체결한다.,"agreement, contract signing, legal event, commitment, negotiation",event
세금 체납에 대한 불이익을 받지 않았다.,"혜택, 면제, 특혜, 규제 회피, 불이익 없음",event
중요 계약이 공개된 것만 존재한다.,"disclosure, transparency, announcement, revelation, communication",event
기존 권리자는 권리를 상실한다.,"권리 이전, 권리 소멸, 상실, 재분배, 변동",event
제100조 (언어)가 명시된다.,"enactment, declaration, legislation, codification, regulation",event
손해배상액을 산정한다.,"calculation, compensation, evaluation, assessment, liability",event
부록의 내용이 계약에 적용된다.,"agreement, application, incorporation, addendum, contract",event
재무제표가 정확하다.,"accuracy, verification, reliability, transparency, validation",event
의무를 다한다.,"responsibility, duty, obligation, commitment, service",event
공급이 안정적으로 이루어진다.,"stabilization, distribution, continuity, provision, maintenance",event
필요시 조항을 보완한다.,"revision, amendment, improvement, adaptation, regulation",event
대리인 선임 가능하다.,"delegation, authorization, representation, empowerment, assignment",event
매수인이 진술보증에서 인지한 사항이 제외된다.,"disclosure, exemption, negotiation, warranty, acknowledgment",event
추가 조정은 없다.,"decision, resolution, agreement, finalization, closure",event
연결재무제표가 작성된다.,"회계처리, 재무보고, 통합, 경영관리, 정보공개",event
운전자본을 거래종결 후 조정한다.,"settlement, adjustment, finance, negotiation, transaction",event
자산이 귀속된다.,"ownership, transfer, allocation, succession, inheritance",event
제19조의 적시 정의는 일반조항에만 적용된다.,"legal interpretation, statutory application, general principles, law clarification, regulation",event
노동법규를 준수한다.,"법준수, 규정이행, 권리보장, 보호, 준법",event
법적 의무를 준수했다.,"compliance, duty, responsibility, lawfulness, obligation",event
상대방 동의가 없다,"disagreement, refusal, rejection, conflict, opposition",event
계약의 효력이 발생한다.,"activation, agreement, legalization, establishment, validation",event
부채가 귀속된다.,"assignment, transfer, obligation, liability, succession",event
"매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다.","transaction, valuation, agreement, finance, investment, negotiation",event
지적재산권을 활용할 수 있다.,"utilization, rights, protection, innovation, commercialization",event
관련 권리를 행사할 수 없다.,"restriction, limitation, prohibition, inaccessibility, disqualification",event
매매대금을 매도인 지정 계좌로 송금한다.,"payment, transaction, transfer, settlement, remittance",event
기업이 CSR을 실천한다.,"social responsibility, ethical behavior, community engagement, sustainability, corporate citizenship",event
수정한다.,"editing, revising, updating, correcting, modifying",event
권리의 불행사가 권리의 포기가 아니다.,"waiver, rights, legal principle, non-action, retention",event
제3장 진술 및 보증이 시작된다.,"agreement, declaration, assurance, legal process, affirmation",event
법령상 요구 또는 상대방 동의 시 비밀정보 보호의 예외가 인정된다.,"exception, disclosure, compliance, consent, confidentiality",event
