Name,Type
종결 확인,Entity
공급망,Entity
상대방 동의,Entity
인지한 사항,Entity
운영,Entity
협력,Entity
공동비용의 부담 주체,Entity
주식회사 뮤테크놀로지,Entity
제83조,Entity
3개월,Entity
배상 한도,Entity
데이터,Entity
나머지,Entity
계약의 조항,Entity
매도인,Entity
자산,Entity
진술보증 위반,Entity
중요 부채,Entity
청구권,Entity
지적재산권의 보유 주체,Entity
제7조,Entity
총 매매가격,Entity
제37조,Entity
제51조에 따라 주식 양도가 완료되는 날,Entity
통지 기한,Entity
제90조,Entity
제1장 총칙,Entity
이메일,Entity
손해배상액,Entity
매도인 지정 계좌,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
손해배상,Entity
환경,Entity
제109조,Entity
신속히,Entity
전환 지원,Entity
권리 불행사,Entity
공동소유자,Entity
제95조,Entity
제2장,Entity
손해 배상 청구자,Entity
계약일,Entity
변경 사항,Entity
지정 계좌,Entity
"일천이백억원(₩120,000,000,000)",Entity
소유자,Entity
제6장 일반조항,Entity
양호한 상태,Entity
한국어본,Entity
매매대금,Entity
핵심 임직원의 근무 유지,Entity
채권,Entity
부동산,Entity
대리인,Entity
제104조,Entity
시너지,Entity
제26조,Entity
손해 배상,Entity
예측,Entity
진술보증의 정확성,Entity
공정하게,Entity
매매조건,Entity
중재,Entity
별도 합의,Entity
모든 라이선스,Entity
기존 브랜드,Entity
지적재산권 보유,Entity
수정,Entity
각 당사자,Entity
제23조,Entity
매수인이 인지한 사항,Entity
공동비용,Entity
제85조,Entity
각자,Entity
특별한 사정,Entity
부록,Entity
제19조의 적시 정의,Entity
통지 대상자,Entity
수신자,Entity
자금,Entity
종결,Entity
적절한 보험,Entity
매수인,Entity
이전하는 자,Entity
청구인,Entity
별도,Entity
제공 주체,Entity
매도인에 대한 통지,Entity
문서,Entity
개인정보보호법 준수,Entity
거래 비용,Entity
제86조,Entity
서면 합의,Entity
계좌,Entity
재무제표,Entity
투명하고 공정하게,Entity
매매주식의 완전한 소유권,Entity
어떠한 제한도 없는 상태,Entity
관련 조항,Entity
비밀정보,Entity
진술보증 위반에 대한 책임,Entity
최선을 다해,Entity
인도하는 자,Entity
완전한 권한,Entity
통지자,Entity
분쟁 당사자,Entity
법령상 요구,Entity
제3장,Entity
매수,Entity
대한민국 법률,Entity
당사자,Entity
거래종결 후 사항,Entity
매도와 매수에 필요한 제반 사항,Entity
주당 매매가격,Entity
통지 불이행 시,Entity
거래종결일,Entity
완전한 소유자,Entity
양 당사자,Entity
"보통주식 12,000,000주",Entity
납부,Entity
거래종결,Entity
지급,Entity
일반조항,Entity
노동,Entity
등기,Entity
진술 및 보증,Entity
노동법규,Entity
운전자본 등의 변동,Entity
제51조,Entity
주주명부,Entity
R&D,Entity
제106조,Entity
현금,Entity
행정,Entity
통지 시스템,Entity
진술보증 관련 사항,Entity
법령,Entity
모든 권리,Entity
제5장,Entity
보상,Entity
일부,Entity
본인,Entity
회사,Entity
상대방,Entity
거래종결일로부터 2년간,Entity
권리,Entity
기한,Entity
의무,Entity
"일만원(₩10,000)",Entity
제40조,Entity
보험,Entity
계약일로부터 30일 내,Entity
연구개발을 계속함,Entity
통지의 구체적 방법,Entity
이전,Entity
본 거래,Entity
개인정보보호법,Entity
불이행,Entity
제96조,Entity
제97조,Entity
제공 정보,Entity
성과,Entity
주식,Entity
관련 권리 자동 소멸,Entity
규제 대응,Entity
제67조,Entity
필요 서류,Entity
계약의 일부,Entity
제93조,Entity
직원,Entity
분리가능성,Entity
주식회사 카파벤처스,Entity
본 계약,Entity
브랜드,Entity
거래종결일로부터,Entity
제94조,Entity
우호적 해결,Entity
청구권 소멸,Entity
법규 준수,Entity
연결,Entity
추가 조정은 없다,Entity
제99조,Entity
진술보증 위반 관련 통지,Entity
매매주식,Entity
환경 법규,Entity
기존 배당,Entity
계약 당사자,Entity
영업비밀,Entity
서울중앙지방법원 관할,Entity
즉시 통지,Entity
서면,Entity
다음 사항,Entity
대한민국의 은행,Entity
이전받는 자,Entity
제7조의 적시 통지,Entity
모든 거래 과정,Entity
