:START_ID,:END_ID,:TYPE
주식매매계약서가 작성된다,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식회사 카파벤처스,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 뮤테크놀로지,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 람다홀딩스,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
계약일자,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
2025년 1월 1일,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
2025년 1월 1일에 계약일자가 정해졌다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
계약 당사자인 주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 뮤테크놀로지가 거래 대상회사가 되었다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 주식을 매도한다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 주식을 매수한다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
제1장 총칙이 시작된다.,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
제1장 총칙,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
매도인,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"대상회사 발행 보통주식 12,000,000주",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매매주식,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매수인,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
계약,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매도와 매수에 필요한 제반 사항,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매수인이 매매주식을 매도인으로부터 매수한다.,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
대상회사,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"보통주식 12,000,000주",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
계약은 매도와 매수에 필요한 제반 사항을 규정한다.,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매도,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매수,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
거래종결일,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
제51조에 따라 주식 양도가 완료되는 날,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
영업일,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
대한민국의 은행이 정상 영업하는 날,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
서면,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
문서,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
이메일,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
기타 서면 형태,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
주식 양도가 완료된다,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
"""거래종결일""이 된다",b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
대한민국의 은행이 정상 영업한다,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
