:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식매매계약서가 작성된다,주식매매계약서,is participated by,[],[],Relation
주식회사 카파벤처스,주식회사 뮤테크놀로지,매도한다,[],[],Relation
주식회사 람다홀딩스,주식회사 뮤테크놀로지,매수한다,[],[],Relation
주식회사 카파벤처스,주식회사 람다홀딩스,계약 체결한다,[],[],Relation
계약일자,2025년 1월 1일,지정한다,[],[],Relation
2025년 1월 1일에 계약일자가 정해졌다.,계약 당사자인 주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,이후,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,주식회사 뮤테크놀로지가 거래 대상회사가 되었다.,결과로,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 카파벤처스,is participated by,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 람다홀딩스,is participated by,[],[],Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 주식을 매도한다.,주식회사 카파벤처스,is participated by,[],[],Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 주식을 매도한다.,주식회사 뮤테크놀로지,is participated by,[],[],Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 주식을 매수한다.,주식회사 람다홀딩스,is participated by,[],[],Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 주식을 매수한다.,주식회사 뮤테크놀로지,is participated by,[],[],Relation
제1장 총칙이 시작된다.,제1장 총칙,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 12,000,000주",보유하다,[],[],Relation
매도인,매매주식,매도하다,[],[],Relation
매수인,매매주식,매수하다,[],[],Relation
계약,매도와 매수에 필요한 제반 사항,규정하다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인이 매매주식을 매도인으로부터 매수한다.,동시에,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,결과로,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.","보통주식 12,000,000주",is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",매도인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",대상회사,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.","보통주식 12,000,000주",is participated by,[],[],Relation
계약은 매도와 매수에 필요한 제반 사항을 규정한다.,계약,is participated by,[],[],Relation
계약은 매도와 매수에 필요한 제반 사항을 규정한다.,매도,is participated by,[],[],Relation
계약은 매도와 매수에 필요한 제반 사항을 규정한다.,매수,is participated by,[],[],Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,[],[],Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,[],[],Relation
서면,문서,포함한다,[],[],Relation
서면,이메일,포함한다,[],[],Relation
서면,기타 서면 형태,포함한다,[],[],Relation
주식 양도가 완료된다,"""거래종결일""이 된다",이후,[],[],Relation
대한민국의 은행이 정상 영업한다,"""영업일""에 해당한다",동시에,[],[],Relation
"문서, 이메일, 기타 서면 형태가 있다","""서면""으로 인정된다",결과로,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,거래종결일,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,제51조,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,주식,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,영업일,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,대한민국의 은행,is participated by,[],[],Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",서면,is participated by,[],[],Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",문서,is participated by,[],[],Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",이메일,is participated by,[],[],Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",기타 서면 형태,is participated by,[],[],Relation
양 당사자,본 계약,본 계약을 체결한다,[],[],Relation
양 당사자,본 계약,본 계약을 이행한다,[],[],Relation
양 당사자,양 당사자,상호 선의와 신뢰를 바탕으로 협력한다,[],[],Relation
양 당사자,양 당사자,성실히 협력한다,[],[],Relation
양 당사자는 본 계약을 체결한다.,양 당사자는 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,이후,[],[],Relation
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,양 당사자는 성실히 협력한다.,동시에,[],[],Relation
양 당사자는 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,양 당사자,is participated by,[],[],Relation
양 당사자는 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,본 계약,is participated by,[],[],Relation
양 당사자는 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,양 당사자,is participated by,[],[],Relation
양 당사자는 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,본 계약,is participated by,[],[],Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함한다,[],[],Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매주식의 매매와 관련한 별도의 합의가 존재하지 않는다.,결과로,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약,is participated by,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매주식,is participated by,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,당사자,is participated by,[],[],Relation
매매주식,"일천이백억원(₩120,000,000,000)",총 매매가격이다,[],[],Relation
주당 매매가격,"일만원(₩10,000)",이다,[],[],Relation
"매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다.","주당 매매가격은 금 일만원(₩10,000)으로 한다.",동시에,[],[],Relation
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.",매매주식,is participated by,[],[],Relation
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.",총 매매가격,is participated by,[],[],Relation
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.",주당 매매가격,is participated by,[],[],Relation
모든 거래 과정,투명하고 공정하게,진행된다,[],[],Relation
모든 거래 과정은 투명하고 공정하게 진행된다.,거래의 투명성과 공정성이 보장된다.,결과로,[],[],Relation
모든 거래 과정은 투명하게 진행된다.,거래 과정,is participated by,[],[],Relation
모든 거래 과정은 공정하게 진행된다.,거래 과정,is participated by,[],[],Relation
각 당사자,상대방,중요한 사항 발생 시 상대방에게 통지해야 한다,[],[],Relation
통지 불이행 시,각 당사자,관련 권리를 행사할 수 없다,[],[],Relation
통지의 구체적 방법,관련 조항,관련 조항에 따른다,[],[],Relation
각 당사자에게 중요한 사항이 발생한다.,상대방에게 적시 통지해야 한다.,이후,[],[],Relation
통지를 불이행한다.,관련 권리를 행사할 수 없다.,결과로,[],[],Relation
통지의 구체적 방법이 결정된다.,통지의 구체적 방법은 관련 조항에 따른다.,때문에,[],[],Relation
각 당사자가 중요한 사항이 발생할 경우 상대방에게 적시에 통지한다.,각 당사자,is participated by,[],[],Relation
각 당사자가 중요한 사항이 발생할 경우 상대방에게 적시에 통지한다.,상대방,is participated by,[],[],Relation
통지를 이행하지 않을 경우 관련 권리를 행사할 수 없다.,통지의무 불이행 당사자,is participated by,[],[],Relation
통지의 구체적인 방법은 관련 조항에 따라 정해진다.,통지의 구체적 방법,is participated by,[],[],Relation
통지의 구체적인 방법은 관련 조항에 따라 정해진다.,관련 조항,is participated by,[],[],Relation
각 당사자,비밀정보,비밀정보를 보호한다,[],[],Relation
