name:ID,type,concepts,synsets,:LABEL
주식매매계약서가 작성된다,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 카파벤처스,entity,[],[],Node
주식회사 뮤테크놀로지,entity,[],[],Node
주식회사 람다홀딩스,entity,[],[],Node
계약일자,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
2025년 1월 1일에 계약일자가 정해졌다.,event,[],[],Node
계약 당사자인 주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,event,[],[],Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,event,[],[],Node
주식회사 뮤테크놀로지가 거래 대상회사가 되었다.,event,[],[],Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 주식을 매도한다.,event,[],[],Node
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 주식을 매수한다.,event,[],[],Node
제1장 총칙이 시작된다.,event,[],[],Node
제1장 총칙,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 12,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
계약,entity,[],[],Node
매도와 매수에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],Node
매수인이 매매주식을 매도인으로부터 매수한다.,event,[],[],Node
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,event,[],[],Node
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 12,000,000주",entity,[],[],Node
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",event,[],[],Node
계약은 매도와 매수에 필요한 제반 사항을 규정한다.,event,[],[],Node
매도,entity,[],[],Node
매수,entity,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
서면,entity,[],[],Node
문서,entity,[],[],Node
이메일,entity,[],[],Node
기타 서면 형태,entity,[],[],Node
주식 양도가 완료된다,event,[],[],Node
"""거래종결일""이 된다",event,[],[],Node
대한민국의 은행이 정상 영업한다,event,[],[],Node
"""영업일""에 해당한다",event,[],[],Node
"문서, 이메일, 기타 서면 형태가 있다",event,[],[],Node
"""서면""으로 인정된다",event,[],[],Node
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,event,[],[],Node
제51조,entity,[],[],Node
주식,entity,[],[],Node
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,event,[],[],Node
대한민국의 은행,entity,[],[],Node
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",event,[],[],Node
양 당사자,entity,[],[],Node
본 계약,entity,[],[],Node
양 당사자는 본 계약을 체결한다.,event,[],[],Node
양 당사자는 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],Node
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],Node
양 당사자는 성실히 협력한다.,event,[],[],Node
양 당사자는 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
매매주식의 매매와 관련한 별도의 합의가 존재하지 않는다.,event,[],[],Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
당사자,entity,[],[],Node
"일천이백억원(₩120,000,000,000)",entity,[],[],Node
