name:ID,type,concepts,synsets,numeric_id,:LABEL
주식매매계약서가 작성된다,event,[],[],0,Node
주식매매계약서,entity,[],[],1,Node
주식회사 카파벤처스,entity,[],[],2,Node
주식회사 뮤테크놀로지,entity,[],[],3,Node
주식회사 람다홀딩스,entity,[],[],4,Node
계약일자,entity,[],[],5,Node
2025년 1월 1일,entity,[],[],6,Node
2025년 1월 1일에 계약일자가 정해졌다.,event,[],[],7,Node
계약 당사자인 주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,event,[],[],8,Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약을 체결했다.,event,[],[],9,Node
주식회사 뮤테크놀로지가 거래 대상회사가 되었다.,event,[],[],10,Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],11,Node
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 주식을 매도한다.,event,[],[],12,Node
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 주식을 매수한다.,event,[],[],13,Node
제1장 총칙이 시작된다.,event,[],[],14,Node
제1장 총칙,entity,[],[],15,Node
매도인,entity,[],[],16,Node
"대상회사 발행 보통주식 12,000,000주",entity,[],[],17,Node
매매주식,entity,[],[],18,Node
매수인,entity,[],[],19,Node
계약,entity,[],[],20,Node
매도와 매수에 필요한 제반 사항,entity,[],[],21,Node
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],22,Node
매수인이 매매주식을 매도인으로부터 매수한다.,event,[],[],23,Node
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,event,[],[],24,Node
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],25,Node
대상회사,entity,[],[],26,Node
"보통주식 12,000,000주",entity,[],[],27,Node
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",event,[],[],28,Node
계약은 매도와 매수에 필요한 제반 사항을 규정한다.,event,[],[],29,Node
매도,entity,[],[],30,Node
매수,entity,[],[],31,Node
거래종결일,entity,[],[],32,Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],33,Node
영업일,entity,[],[],34,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],35,Node
서면,entity,[],[],36,Node
문서,entity,[],[],37,Node
이메일,entity,[],[],38,Node
기타 서면 형태,entity,[],[],39,Node
주식 양도가 완료된다,event,[],[],40,Node
"""거래종결일""이 된다",event,[],[],41,Node
대한민국의 은행이 정상 영업한다,event,[],[],42,Node
"""영업일""에 해당한다",event,[],[],43,Node
"문서, 이메일, 기타 서면 형태가 있다",event,[],[],44,Node
"""서면""으로 인정된다",event,[],[],45,Node
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,event,[],[],46,Node
제51조,entity,[],[],47,Node
주식,entity,[],[],48,Node
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,event,[],[],49,Node
대한민국의 은행,entity,[],[],50,Node
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",event,[],[],51,Node
양 당사자,entity,[],[],52,Node
본 계약,entity,[],[],53,Node
양 당사자는 본 계약을 체결한다.,event,[],[],54,Node
양 당사자는 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],55,Node
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],56,Node
양 당사자는 성실히 협력한다.,event,[],[],57,Node
양 당사자는 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],58,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],59,Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],60,Node
매매주식의 매매와 관련한 별도의 합의가 존재하지 않는다.,event,[],[],61,Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],62,Node
당사자,entity,[],[],63,Node
"일천이백억원(₩120,000,000,000)",entity,[],[],64,Node
주당 매매가격,entity,[],[],65,Node
"일만원(₩10,000)",entity,[],[],66,Node
"매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다.",event,[],[],67,Node
"주당 매매가격은 금 일만원(₩10,000)으로 한다.",event,[],[],68,Node
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.",event,[],[],69,Node
총 매매가격,entity,[],[],70,Node
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.",event,[],[],71,Node
