node,conceptualized_node,node_type
매수인이 주주로 간주된다.,"ownership, recognition, transaction, status change, legal event",event
예측한다.,"forecasting, anticipation, expectation, projection, foresight",event
고객 관계를 원만히 유지한다.,"relationship management, maintenance, communication, trust-building, satisfaction",event
장소를 서울로 정한다.,"decision, selection, planning, location choice, arrangement",event
매도인은 진술 보증한다.,"disclosure, assurance, confirmation, guarantee, representation",event
"매수인이 보통주식 10,000,000주를 매수한다","acquisition, investment, trading, transaction, ownership, finance",event
부채가 없다.,"relief, freedom, solvency, independence, stability",event
시너지가 발생한다.,"cooperation, synergy, collaboration, amplification, enhancement",event
제45조(제한)이 적용된다.,"restriction, regulation, limitation, application, enforcement",event
매수인이 감사를 선임한다.,"appointment, selection, oversight, governance, auditing",event
필요 권리를 보유한다.,"entitlement, authorization, possession, empowerment, permission",event
등기를 한다.,"registration, certification, documentation, legal process, authorization",event
20억을 차감한다.,"deduction, subtraction, loss, transaction, adjustment",event
공정하게 해석한다.,"judging, fairness, justice, interpretation, evaluation",event
적극 협력한다.,"cooperation, collaboration, support, teamwork, alliance",event
거래종결일이 된다.,"completion, finalization, deadline, closure, agreement",event
자금이 충분히 확보되었다.,"funding, acquisition, financial security, resource allocation, support, stability",event
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,"agreement, trust, cooperation, goodwill, partnership",event
규제가 있다.,"restriction, limitation, control, regulation, governance",event
합리적 예측이다.,"reasoning, prediction, inference, logic, estimation",event
직원이 고용 승계된다.,"employment, transition, succession, continuity, labor change",event
청구를 서면으로 한다.,"communication, request, documentation, legal process, formality",event
이 행위는 통상의 영업과정으로 본다.,"business activity, routine, transaction, commerce, operation",event
2024년 12월 31일 기준 운전자본을 목표로 한다.,"planning, goal setting, financial management, target setting, budgeting",event
한국어본이 존재한다.,"translation, availability, language, version, accessibility",event
운전자본이 증가한다.,"growth, expansion, finance, investment, development",event
배상한다.,"compensation, repayment, restitution, reparation, redress",event
위반이 발생한다.,"violation, infraction, misconduct, transgression, breach",event
운전자본 증감분은 매매가격에 100% 반영된다.,"finance, transaction, valuation, adjustment, investment",event
종결 이전의 운영이 정상적으로 진행된다.,"continuity, normalcy, operation, stability, maintenance",event
계약 당사자들이 명시되었다.,"contracting, agreement, specification, identification, documentation",event
배당이 발생한다.,"distribution, allocation, payment, finance, disbursement",event
"""운전자본""이 제77조에 정의된 바에 따름을 정의한다.","definition, explanation, legal interpretation, clarification, terminology",event
납부 지연에 따른 불이익이 발생하지 않았다.,"delay, exemption, leniency, tolerance, non-penalization",event
제83조가 존재한다.,"legislation, regulation, governance, authority, lawmaking",event
매수인이 해당 사항에 대한 진술을 받는다.,"confirmation, disclosure, assurance, verification, communication",event
환경을 보호한다,"conservation, sustainability, preservation, stewardship, responsibility",event
핵심인력을 유지하기 위해 노력한다.,"retention, management, motivation, loyalty, workforce, engagement",event
불행사는 포기가 아니다.,"resilience, perseverance, mindset, acceptance, motivation",event
운전자본이 감소한다.,"capital decrease, financial change, resource reduction, liquidity, asset adjustment",event
권리를 행사하지 않았다.,"inaction, waiver, abstention, nonparticipation, forbearance",event
거래가 종결된다.,"contract, completion, agreement, closure, settlement",event
계약 당사자는 상대방의 동의 없이 권리를 양도할 수 없다.,"limitation, restriction, consent, transfer, obligation",event
제16조에 의해 경업금지 조항이 설정된다.,"restriction, prohibition, regulation, limitation, compliance",event
매수인은 매도인에게 대금을 지급한다.,"payment, transaction, exchange, settlement, obligation",event
거래비용이 분배되지 않는다.,"inefficiency, cost allocation, resource distribution, transaction failure, economic imbalance",event
제41조는 중요계약에 대해 언급한다.,"regulation, governance, agreement, stipulation, legal framework",event
통상 영업과정을 유지한다.,"operation, business, management, routine, continuity",event
주식회사 뉴파이낸스의 대표이사가 2025년 1월 1일에 서명한다.,"agreement, authorization, leadership, corporate action, legal documentation",event
제104조를 성실히 이행한다.,"compliance, obligation, fulfillment, responsibility, duty",event
소송이 제기되지 않는다.,"conflict avoidance, resolution, agreement, settlement, peace",event
문서를 인도한다.,"transfer, delivery, handover, documentation, exchange",event
예상치 못한 비용이 발생해도 대처할 수 있다.,"preparation, adaptability, resilience, problem solving, financial management",event
매도인이 거래종결 전에 배당을 실시한다.,"dividend, distribution, transaction, settlement, finance",event
양도는 상대방의 동의 없이 불가능하다.,"restriction, agreement, permission, authorization, limitation",event
진술과 보증이 계약 체결일 기준으로 평가된다.,"evaluation, assessment, verification, contract, due diligence",event
주주명부에 매수인을 기재한다.,"registration, documentation, ownership transfer, recordkeeping, investment",event
차입금이 증가한다.,"borrowing, financing, liability, debt increase, capital acquisition",event
계약의 제반 사항을 규정할 필요가 있다.,"agreement, regulation, clarification, arrangement, negotiation",event
제45조가 인지 사항을 제외한다.,"legislation, exclusion, amendment, regulation, exception",event
제45조에서 제한에 관한 인지 사항이 제외된다.,"exclusion, exemption, regulation, modification, legal adjustment",event
새 이사 선임한다.,"appointment, leadership, selection, management, decision-making",event
양 당사자는 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,"agreement, cooperation, trust, good faith, partnership",event
운전자본이 증가하면 가격을 상향 조정한다.,"price adjustment, cost increase, pricing strategy, financial management, market response",event
매매대금 20%로 배상한도를 제한한다.,"limitation, compensation, contract, liability, settlement",event
배상 한도를 매매대금 20%로 제한한다.,"limitation, compensation, contract, liability, agreement",event
본 계약은 매도인의 매도 및 매수인의 매수에 필요한 제반 사항을 규정한다.,"transaction, agreement, regulation, negotiation, contract",event
제50조는 예측에 대해 언급한다.,"regulation, legislation, guidance, prediction, reference",event
고객의 신뢰를 얻을 수 있다.,"trust building, credibility, relationship, persuasion, confidence",event
서류가 필요하다.,"request, documentation, requirement, verification, process",event
3개월 동안 지원이 이루어진다,"assistance, support, duration, allocation, provision",event
대한민국 법률에 따라 해석한다.,"legal interpretation, jurisdiction, governance, regulation, authority",event
배상한도를 매매대금의 20%로 제한한다.,"limitation, compensation, liability, risk management, financial agreement",event
지적재산권을 보유한다.,"ownership, protection, rights, control, exclusivity",event
