Name,Type
계약일,Entity
제86조,Entity
합리적 추가보장 제공,Entity
임차인,Entity
행위,Entity
소유권,Entity
행정사항,Entity
권리,Entity
20억,Entity
협력,Entity
채무,Entity
문서,Entity
법규,Entity
통지하는 주체,Entity
관할,Entity
보험,Entity
요청자,Entity
제1장,Entity
계약일로부터 90일 후(제43조),Entity
중재,Entity
개인정보 보호,Entity
제56조,Entity
진술 및 보증,Entity
매매대금 20%,Entity
고객 관계,Entity
거래종결일 운전자본과의 비교,Entity
불이행,Entity
차입금,Entity
일관된 기준,Entity
제107조,Entity
없음,Entity
원만히,Entity
부록,Entity
연구개발,Entity
포기,Entity
관계 유지 주체,Entity
제39조,Entity
노력,Entity
공동비용,Entity
사람,Entity
대한민국의 은행,Entity
2024년 12월 31일,Entity
제2장,Entity
제74조,Entity
감사,Entity
요청 정보,Entity
위반,Entity
당사자들,Entity
제109조,Entity
배당 재원 조달 행위,Entity
예측,Entity
공개된 부채,Entity
자산,Entity
거래종결일 운전자본과 기준일 운전자본,Entity
준수 주체(조문 적용 대상),Entity
일부 규정,Entity
일부무효,Entity
상대방 동의 없이,Entity
등기우편,Entity
고용,Entity
2배수,Entity
운전자본 증감분,Entity
제41조,Entity
추가보장,Entity
3개월 지원,Entity
일방 당사자,Entity
운전자본 계산,Entity
공개 외 중요부채 없음,Entity
규제대응,Entity
매매가격,Entity
매매주식,Entity
부채,Entity
완전한 소유권,Entity
준수 주체,Entity
주식회사 크사이인베스트,Entity
제45조,Entity
구성원들,Entity
거래종결,Entity
계약,Entity
협력 강화,Entity
제73조,Entity
상대방 동의 없음,Entity
적절한 보험,Entity
대금,Entity
제55조,Entity
총칙,Entity
대한민국의 은행이 정상 영업하는 날,Entity
구성원,Entity
합의,Entity
환경법규 준수,Entity
각자 부담한다,Entity
중요부채,Entity
거래당사자,Entity
각자,Entity
경업금지 조항,Entity
계약서,Entity
문서 인도,Entity
영업비밀,Entity
배상,Entity
유동자산,Entity
본인,Entity
성과에 추가조정 없음,Entity
각 1부,Entity
제14조,Entity
보증,Entity
공정한 기준,Entity
제25조,Entity
분쟁,Entity
청구인,Entity
차입금 증가,Entity
계약일로부터 90일 후,Entity
필요서류,Entity
임대인,Entity
선임자,Entity
주식회사 크사이인베스트 대표이사,Entity
데이터,Entity
이전 수취인,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
제99조,Entity
404-04-04040,Entity
대리인,Entity
거래비용,Entity
등기,Entity
경영권,Entity
운전자본 감소,Entity
제97조,Entity
노동법,Entity
나머지 유효,Entity
요청,Entity
합리적 예측,Entity
직전 회계연도,Entity
연결재무제표,Entity
은행,Entity
제83조,Entity
공개 외 중요부채,Entity
법규 준수,Entity
거래종결일로부터 1년간,Entity
권한 보유,Entity
연구개발 계속,Entity
기준일 운전자본,Entity
계약 일부,Entity
중요부채 없음,Entity
차감,Entity
임대차계약,Entity
종결,Entity
계좌,Entity
제70조,Entity
이행의무자,Entity
주식매매계약서,Entity
경업금지,Entity
본 계약,Entity
운전자본 조정,Entity
상대방,Entity
"금 일천억원(₩100,000,000,000)",Entity
대한민국,Entity
회사,Entity
일반조항,Entity
동의,Entity
유동부채,Entity
직전 회계연도 말,Entity
기존 배당,Entity
나머지,Entity
노동법 준수,Entity
제91조,Entity
양도,Entity
제한 없는 완전한 소유권,Entity
R&D 연구개발 계속,Entity
계약일자,Entity
회계,Entity
지급자,Entity
제95조,Entity
모든 진술과 보증,Entity
이사회,Entity
매입채무,Entity
제77조,Entity
제22조,Entity
부동산,Entity
합리적,Entity
운전자본,Entity
현금,Entity
