:START_ID,:END_ID,:TYPE
주식매매계약서가 작성된다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식의 소유권이 이전된다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서가 체결된다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
매수인은 대금을 지급한다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
매수인이 대금을 지급한다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
매도인은 주식을 양도한다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식회사 뉴파이낸스,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
계약,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
주식회사 크사이인베스트,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
주식회사 오미크론테크,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
2025년 1월 1일,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
2025년 1월 1일에 계약이 체결되었다.,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
"매도인, 매수인, 대상회사가 계약 당사자가 된다.",fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
주식회사 뉴파이낸스가 주식회사 오미크론테크를 매도한다.,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
주식회사 크사이인베스트가 주식회사 오미크론테크를 매수한다.,fd94bcca05604116fdf7c658dfe91a72941d3bf513f8e2e789b4ab276392174e,Source
제1장이 총칙을 다룬다.,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
제1장,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
총칙,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
매도인,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"대상회사 발행 보통주식 10,000,000주",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
매매주식,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
매수인,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"매수인이 보통주식 10,000,000주를 매도인으로부터 매수한다.",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"매도인이 보통주식 10,000,000주를 매수인에게 매도한다.",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
