:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다.,주식의 소유권이 이전된다.,이후,[],[],0,Relation
주식매매계약서가 체결된다.,매수인은 대금을 지급한다.,때문에,[],[],1,Relation
매수인이 대금을 지급한다.,매도인은 주식을 양도한다.,결과로,[],[],2,Relation
주식매매계약서가 작성된다.,주식매매계약서,is participated by,[],[],3,Relation
주식회사 뉴파이낸스,계약,매도인이다,[],[],4,Relation
주식회사 크사이인베스트,계약,매수인이다,[],[],5,Relation
주식회사 오미크론테크,계약,대상회사이다,[],[],6,Relation
계약,2025년 1월 1일,계약일자가 있다,[],[],7,Relation
2025년 1월 1일에 계약이 체결되었다.,"매도인, 매수인, 대상회사가 계약 당사자가 된다.",이후,[],[],8,Relation
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,주식회사 뉴파이낸스,is participated by,[],[],9,Relation
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,주식회사 크사이인베스트,is participated by,[],[],10,Relation
주식회사 뉴파이낸스가 주식회사 오미크론테크를 매도한다.,주식회사 뉴파이낸스,is participated by,[],[],11,Relation
주식회사 뉴파이낸스가 주식회사 오미크론테크를 매도한다.,주식회사 오미크론테크,is participated by,[],[],12,Relation
주식회사 크사이인베스트가 주식회사 오미크론테크를 매수한다.,주식회사 크사이인베스트,is participated by,[],[],13,Relation
주식회사 크사이인베스트가 주식회사 오미크론테크를 매수한다.,주식회사 오미크론테크,is participated by,[],[],14,Relation
제1장이 총칙을 다룬다.,제1장,is participated by,[],[],15,Relation
제1장이 총칙을 다룬다.,총칙,is participated by,[],[],16,Relation
매도인,"대상회사 발행 보통주식 10,000,000주",보유하다,[],[],17,Relation
매도인,매매주식,매도하다,[],[],18,Relation
매수인,매매주식,매수하다,[],[],19,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.","매수인이 보통주식 10,000,000주를 매도인으로부터 매수한다.",동시에,[],[],20,Relation
"매도인이 보통주식 10,000,000주를 매수인에게 매도한다.",계약의 제반 사항을 규정할 필요가 있다.,때문에,[],[],21,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],22,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],23,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],24,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,[],[],25,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,[],[],26,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,[],[],27,Relation
계약이 매도인과 매수인 사이의 매매주식 거래에 필요한 제반 사항을 규정한다.,매도인,is participated by,[],[],28,Relation
계약이 매도인과 매수인 사이의 매매주식 거래에 필요한 제반 사항을 규정한다.,매수인,is participated by,[],[],29,Relation
계약이 매도인과 매수인 사이의 매매주식 거래에 필요한 제반 사항을 규정한다.,매매주식,is participated by,[],[],30,Relation
거래종결일,계약일로부터 90일 후(제43조),정의된다,[],[],31,Relation
영업일,대한민국의 은행이 정상 영업하는 날,정의된다,[],[],32,Relation
운전자본,제77조,정의된다,[],[],33,Relation
계약일이 발생한다.,계약일로부터 90일 후가 도래한다.,이후,[],[],34,Relation
계약일로부터 90일 후가 도래한다.,"""거래종결일""이 된다.",결과로,[],[],35,Relation
대한민국의 은행이 정상 영업한다.,"""영업일""이 된다.",동시에,[],[],36,Relation
제77조에 정의가 명시된다.,"""운전자본""의 의미가 정해진다.",결과로,[],[],37,Relation
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후임을 정의한다.",거래종결일,is participated by,[],[],38,Relation
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후임을 정의한다.",제43조,is participated by,[],[],39,Relation
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후임을 정의한다.",계약일,is participated by,[],[],40,Relation
"""영업일""이 대한민국의 은행이 정상 영업하는 날임을 정의한다.",영업일,is participated by,[],[],41,Relation
"""영업일""이 대한민국의 은행이 정상 영업하는 날임을 정의한다.",대한민국의 은행,is participated by,[],[],42,Relation
"""운전자본""이 제77조에 정의된 바에 따름을 정의한다.",운전자본,is participated by,[],[],43,Relation
