name:ID,type,concepts,synsets,:LABEL
주식매매계약서가 작성된다.,event,[],[],Node
주식의 소유권이 이전된다.,event,[],[],Node
주식매매계약서가 체결된다.,event,[],[],Node
매수인은 대금을 지급한다.,event,[],[],Node
매수인이 대금을 지급한다.,event,[],[],Node
매도인은 주식을 양도한다.,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 뉴파이낸스,entity,[],[],Node
계약,entity,[],[],Node
주식회사 크사이인베스트,entity,[],[],Node
주식회사 오미크론테크,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
2025년 1월 1일에 계약이 체결되었다.,event,[],[],Node
"매도인, 매수인, 대상회사가 계약 당사자가 된다.",event,[],[],Node
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 뉴파이낸스가 주식회사 오미크론테크를 매도한다.,event,[],[],Node
주식회사 크사이인베스트가 주식회사 오미크론테크를 매수한다.,event,[],[],Node
제1장이 총칙을 다룬다.,event,[],[],Node
제1장,entity,[],[],Node
총칙,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 10,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
"매수인이 보통주식 10,000,000주를 매도인으로부터 매수한다.",event,[],[],Node
"매도인이 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
계약의 제반 사항을 규정할 필요가 있다.,event,[],[],Node
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",event,[],[],Node
계약이 매도인과 매수인 사이의 매매주식 거래에 필요한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
계약일로부터 90일 후(제43조),entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
운전자본,entity,[],[],Node
제77조,entity,[],[],Node
계약일이 발생한다.,event,[],[],Node
계약일로부터 90일 후가 도래한다.,event,[],[],Node
"""거래종결일""이 된다.",event,[],[],Node
대한민국의 은행이 정상 영업한다.,event,[],[],Node
"""영업일""이 된다.",event,[],[],Node
제77조에 정의가 명시된다.,event,[],[],Node
"""운전자본""의 의미가 정해진다.",event,[],[],Node
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후임을 정의한다.",event,[],[],Node
제43조,entity,[],[],Node
계약일,entity,[],[],Node
"""영업일""이 대한민국의 은행이 정상 영업하는 날임을 정의한다.",event,[],[],Node
대한민국의 은행,entity,[],[],Node
"""운전자본""이 제77조에 정의된 바에 따름을 정의한다.",event,[],[],Node
양 당사자,entity,[],[],Node
본 계약,entity,[],[],Node
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],Node
양 당사자는 본 계약의 체결 및 이행에 성실히 협력한다.,event,[],[],Node
